,Content,Location,Username,Retweet-Count,Favorites,Created at
0,innovate an innovative approach #quoteoftheday #DigitalMarketing #DigitalLearning #blogger https://t.co/fBHveP86Qw,,PaulBillygraha1,0,0,2020-08-02 04:56:27
1,"The pandemic is raising concerns about how teens use technology. But there’s still a lot we don’t know. 

READ MORE: https://t.co/LnRfYWYGAz

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/sDkeP2vVwu",Worldwide,IAM__Network,0,0,2020-08-02 04:49:43
2,"STI: Staying Education-ready in the New Normal | Inquirer Technology 

READ MORE: https://t.co/sF61JYGBTb

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School+ https://t.co/XbjNxpTjbe",Worldwide,IAM__Network,0,0,2020-08-02 04:32:36
3,"Digital Learning Through Digital RCRT
.
.
Registration Opening Soon
Website: https://t.co/DWAg4to5xX
.
.
.
.
.
#digitallearning #easylearning #digitalrcrt #rsvk #ssy #onlineeducation #effortlesslearning #onlinecourse https://t.co/PrGmfXy76b",,digitalrcrt,0,0,2020-08-02 04:30:12
4,"Upswing Classroom: Out and Out Virtual School, Not Just a Classroom! - EdTechReview
https://t.co/dXzzdoaDHH
#education #edtech #educators #students #edchat #learning #teachers #classroom #DigitalLearning #Teachers",India,etr_in,1,0,2020-08-02 04:00:21
5,"A digital future needs a workforce conversant in #digital medium. @khaleejtimes  report on how and why #digitallearning has become the need of the hour and how #Covid19 has expedited the process https://t.co/UeqiEmFDg5

#UAE #digitaltransformation #talentsolutions #talent #Dubai","City of London, London",RPInsight,0,0,2020-08-02 03:00:03
6,"The JH Educational Technology (HKG:1935) Share Price Is Up 56% And Shareholders Are Holding On 

READ MORE: https://t.co/iFUlRWMO9e

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/Ig9gFGo24e",Worldwide,IAM__Network,0,0,2020-08-02 02:34:53
7,"Anaheim public schools launch virtual academies for the long haul 

READ MORE: https://t.co/uT1PQp5O1q

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School~ https://t.co/boYnRAsMiV",Worldwide,IAM__Network,0,1,2020-08-02 01:34:46
8,"New Oriental Education &amp; Technology Group Inc. (EDU) Q4 2020 Earnings Call Transcript @themotleyfool 

READ MORE: https://t.co/31JYP2Lp97

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/QE2OTjOMTP",Worldwide,IAM__Network,0,0,2020-08-02 00:50:45
9,"“Instructional Considerations for the 2020-21 School Year”

#BlendedLearning #RemoteLearning #Distancelearning #hybridlearning #TeachingOnline #elearning #RemoteTeaching #DigitalLearning #teachertwitter #edutwitter #teachertips #TeachHub #TeachFromHome https://t.co/ojx89J0gF0","Illinois, USA",Erik_Youngman,0,2,2020-08-02 00:10:26
10,"With all the uncertainty of what September will bring, I’ve created a Donor’s Choose project to help me bring more fun and creative digital lessons to my remote teaching. #helpateacher #RespectForTeachers 
#remoteteaching #digitallearning 

https://t.co/QKQvIAo0Ki","Lyndhurst, NJ",Renee_LoBue,0,0,2020-08-01 23:57:31
11,Check this out on Wakelet - Digital learning and tools https://t.co/Gj7qqxwE3N via @wakelet #DigitalLearning #wakelet @HortonsCreekES,"Cary, NC",SupriyaVasu,0,0,2020-08-01 23:20:38
