,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Zoom on the laptop, Peardeck on the second screen! #DigitalLearning #peardeck #virtuallearning https://t.co/soGkiyfNwQ",,forward_failing,0,0,2020-08-13 18:27:40
1,"NJ Issues Rules For In-Person Education In Schools Amid COVID-19 

READ MORE: https://t.co/oNAls16U63

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School https://t.co/ftbZ4v2bxZ",Worldwide,IAM__Network,0,0,2020-08-13 18:24:01
2,"Vol 15, No 09 (2019) International Journal of Online and Biomedical Engineering (iJOE) https://t.co/Gc67tmLWCx #elearning #mlearning #digitalLearning #Algorithm #cloud #Competences #investigation #robots #training #virtual #doctor #education #edtech #TIC #tech https://t.co/O3LG8OONW2",Sevilla,eraser,0,0,2020-08-13 18:10:03
3,"Walla Walla Online director aims to offer best online learning experience available 

READ MORE: https://t.co/wNYsRJ49aR

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School+ https://t.co/RBCeOleJfc",Worldwide,IAM__Network,0,0,2020-08-13 18:02:28
4,Cool story by @KerryNBC on how schools are integrating cameras from @OwlLabs for schools offering a hybrid approach of some kids in person and others at home. Makes sense to me! #DigitalLearning #blendedlearning #reinventinglearning #virtualschool https://t.co/7JWZA0wly0,"Louisville, KY",andrewyb,2,1,2020-08-13 17:57:08
5,"Reopening schools and virtual learning: Experts offer valuable insight 

READ MORE: https://t.co/bBUdajyjVp

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School~",Worldwide,IAM__Network,0,0,2020-08-13 17:50:33
6,"This is the time for innovation and reform of education 

READ MORE: https://t.co/6CfNSetyzX

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/FjbiLH9m1Q",Worldwide,IAM__Network,0,0,2020-08-13 17:34:21
7,"Equal access to tech can reduce poverty and increase diversity 

READ MORE: https://t.co/CuChzmolpW

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School~ https://t.co/D5y9gTLkUv",Worldwide,IAM__Network,0,0,2020-08-13 17:20:01
8,"Our digital learning setup for now.  This is going to be an interesting school year 

.
.
.

#homeschool #homeschooling #school #homeschoollife #homeschoolingmom #digitallearning #firstgrade https://t.co/NsLV3yAm9p",,AtHomeWithQuita,0,1,2020-08-13 17:15:33
9,The #wcVIP would like to welcome Mrs. Lesley Neale Virtual Coordinator 9-12 and Mrs. Jennifer Richey Virtual Coordinator K-8. #TogetherWeCanDoMore #DigitalLearning https://t.co/Dokvay5G5g,"Tennessee, USA",cjbennett10,0,0,2020-08-13 17:10:43
10,"#Broadband #internet access:
#Virginia's #digitaldivide in #education – report
@SCHEVnews
—@lindsay_mck @insidehighered
https://t.co/hK9NbUVf37
https://t.co/ctuEqEjddF

#digitallearning #digitalinclusion #highereducation #K12",Blacksburg VA USA,drphd2k7,0,0,2020-08-13 16:52:49
11,"#DouglasCountyLibraries Hours Starting 8/17: Mon, Tues, Thur 10-7, Friday 10-4. 9-10am reserved for at risk patrons. Curb service M-F 9-4. #douglasville #douglascountyga #publiccomputers #DigitalLearning #BackToSchool #mobileprinting #douglasvillega #Douglasvillekids https://t.co/P1nYQsBOvu","6810 Selman Dr Douglasville, GA",dvillelibrary,0,2,2020-08-13 16:43:35
