,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"@jamesfbrophy @NonbinarySaru That point could be grandfathered in, of course, there being 9 RL years between Trek IV in 1986 and the beginning of Voyager in 1995. But that said, Tuvok was in canon an ensign aboard Captain Sulu's U.S.S. Excelsior during the events of Star Trek VI, not a great distance there.",,Twopaw1,0,1,2020-08-14 05:43:52
1,At the point where there’s no course but to completely distance and de-friend from anyone who buys into this madness https://t.co/lJP4sjpCFQ,,DeplorableGPX,0,0,2020-08-14 05:39:17
2,"@kapease @TrumpRulzz @MarissaMeleske Tweet was about open air or outside, yes of course if a business ask you to wear one, I do so or if I can't socially distance I do out of consideration for my fellow Patriots but no way in heck am I wearing a mask outside &amp; alone.",United States,kddavi63,0,0,2020-08-14 05:33:21
3,"@InteriorsAvenue Remembering to socially distance, wear a mask and hand sanitise tf out of everything of course.","Footscray, Melbourne",IanSyson,0,0,2020-08-14 05:13:54
4,"Punahou's Case Middle School students &amp; their families were greeted (at a safe distance, of course) as they drove by to picking up supplies for the 1st day of school. Mahalo faculty for going the distance! Happy to keep you safe &amp; learn from a distance for just a bit!  💛💙 https://t.co/VOu5D0fbZP",,PunahouPFA,0,3,2020-08-14 05:08:23
5,"Chop! Chop! Sharpen your narrative tools this fall with @LiseFunderburg’s 4-week masterclass in honing critical distance!

Check out this and other fall course offerings on Cleaver! https://t.co/rVyNMYdmpu https://t.co/i8bhOnnI7u","Philadelphia, PA",CleaverMagazine,1,1,2020-08-14 05:01:41
6,"@kenandstuff distance

long map, obstacles, whichever team most cumulative meters from start wins.

sumo map, small circle, team w/ lowest cumulative meters from center point wins

obstacle course. most isolated team (min meters to next Fall Guy) wins. getting closer could WIN strategically","Kent, WA",madsushi,0,1,2020-08-14 05:00:33
7,@Dame_Lillard  has to be the best shooter from distance in the entire history  Crazy Shooting #blazers #NBA and of course the bubble #MVP,"Shimla, India",Vidic71,0,0,2020-08-14 04:54:27
8,"@MozillaHubs @kentbye Nice to hear! I have a distance course ""Digital Movie Making"" starting in 2 weeks; I plan to use Hubs for all supervisions and seminars. Will be my first full scale use of Hubs in teaching.",,KuggenMedialab,0,1,2020-08-14 04:33:41
9,"@bsquikle Which makes long distance travel by airliner more environmentally and economically friendly than trains, which are of course quite useful for short and medium distance trips.",Pennsylvania,EvilIguana966,0,0,2020-08-14 04:30:33
