,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Study A Business Management Degree - 
 https://t.co/7DGeoQed3R 
It will prepare you for rewarding #Management positions 
#distanceeducation https://t.co/jLeUMmomEu",Kenya UK Barbados Australia US,stewartmar,0,0,2020-08-13 15:37:15
1,"Tierra Rushing, social worker 
@ATL_Eagles
 in Delray Beach, discusses how she's approaching online #counseling. #mentalhealth #coronavirus #covid19 #AtlanticHighSchool #distanceeducation","Tampa, FL",HealthNewsFL,1,0,2020-08-13 14:58:00
2,Parents: Virtual learning not perfect. Good read from founder of Kahn Academy #distanceeducation  https://t.co/kfzYo2CvGh,"Maryland, USA",Mexi_Dutch,0,0,2020-08-13 14:55:44
3,We give the Surface Go an A+. 👏 Insight is proud to support schools everywhere with affordable tools like these. 💻 Learn more: https://t.co/XUDxoOMCFi #EdTech #RemoteLearning #DistanceEducation https://t.co/NB8rkQ2ORh,,InsightIPS,0,0,2020-08-13 13:55:01
4,"#CognitiveCartoons from https://t.co/tJ1cFEVZ6v spoof #highered #onlinelearning #elearning &amp; #instructionaldesign

#edtech #onlineteacher #distanceeducation #onlinestudent  #highereducation #deeplearning #learning #humor #cartoon #cartoons #cleanhumor #itjokes #teachinghumor https://t.co/JqnAhyh8bi",,IdeaCaptain,0,0,2020-08-13 12:48:16
5,Distance Education – Joyful Educational Advancement #distanceeducation https://t.co/SezNloO5ur https://t.co/WPygJTjnBL,"Mumbai, India",m7admit,0,0,2020-08-13 12:31:47
6,"‘A Smoking Gun’: Infectious #Coronavirus Retrieved From Hospital Air

#ReimagineEducation #ReinventEducation #ReinventSociety #DistanceEducation #DistanceLearning 
 https://t.co/8AvwcybwVA","Long Island, NY",DrKavner,0,0,2020-08-13 12:02:28
7,What a beautiful day to start a new school year @Jupmiddle.   I’m so excited and ready to begin! #distanceeducation #happiertogether #anewjourney https://t.co/9nC5BWWObN,,DonnaBakerJMST,0,4,2020-08-13 11:57:56
8,#randywinegarden just called you out @BilldeBlasio #schools #distanceeducation #nyc,NYC,johnnyb312,0,0,2020-08-13 11:34:30
9,Please Send Coffee...kidding not kidding 🤓melaniekay@msn.com #teacherlife #ThursdayThoughts #clearthelist #coffeelover #virtuallearning #elar8 #distanceeducation #backtoschool https://t.co/jtladlLxw0,"San Antonio, TX",StrifflerTeach8,0,2,2020-08-13 11:29:11
10,"The Complete iOS 9 Developer Course
https://t.co/k0PmXM990H
Learn the Skills Online Whilst Building 18 Apps 
#distanceeducation https://t.co/13i5vs1YDc",Kenya UK Barbados Australia US,stewartmar,0,0,2020-08-13 10:56:15
11,"Distance Education is on the path of acceptability. Be it in the job market or for higher studies #distanceeducation education is getting the same value. It's time you clear the dust in front of your eyes and have a clearer vision about distance education.
#collegevidya https://t.co/eeQ1WhTya2","Noida, India",CollegeVidya,0,0,2020-08-13 08:13:53
12,"The Lockdown will not hold you back; it is a perfect opportunity to pursue a thriving career in Healthcare with our Distance Learning Programme
#distanceeducation #distancelearning #elearning  #healthcareprogrammes #pgdiplomaprogrammes  #symbiosis #ssodlpune @SSODLPune https://t.co/XeE9pxdRpJ","S. B ROAD, PUNE",SSODLPune,2,2,2020-08-13 07:22:46
13,"My class is about to be soul food. Making EVERYTHING. If you know the history of soul food, you know what I’m trying to say! I’m about to find joy admidst this pain! Don’t know all my students yet but the kitchen is Hot. #distanceeducation #blackeducator",,LaurenBeal,0,6,2020-08-13 05:28:25
14,Pick your #Pod #distanceeducation #distancelearning2020 #distancelearningplaybook #tutordoctor https://t.co/T6OsHgPj8W,Monterey,Tutorsmonterey,0,0,2020-08-13 04:12:04
15,First day and chrome book pickup was wonderful. We want to thank all of the parents for socially distancing and all of the kiddos stopping by to say hello. @MSDMartinsville @VisitMorganCo #firstdayofschool #SocialDistancing #distanceeducation #distancelearning https://t.co/1cP8Y1j8CO,"Brooklyn, IN",brooklyn_stem,2,1,2020-08-13 03:46:36
16,What can you do with cardboard? What CAN'T you do with cardboard😃? #STEM teachers what is your favorite cardboard STEM activity? Let me know here or join us at #elementarystemclub https://t.co/MSaq4wE5JY #STEMeducation #teachers #distanceeducation https://t.co/hyOPPCfVtU,"Massachusetts, USA",momgineerMA,0,2,2020-08-13 01:04:54
17,"EDUCATORS | LEADERS | ALL OF US
Do the best you can... 
Give yourself grace...
It’s only temporary...
Mistakes will happen &amp; that’s ok...
#DASDpride #distanceeducation #distancelearning #virtuallearning #COVID19 https://t.co/FP8ZudMFTX",,nstulak,6,19,2020-08-12 23:52:10
18,"Yes. Whether online or in person.  😀🌟😀
#kidsdeserveit #distanceeducation #distancelearning #TeacherStrong 
#STRONGedu https://t.co/M8UYrnrgHt",,PamHall2inspire,1,2,2020-08-12 23:50:02
19,Day 1 remote learning went well!!! #distanceeducation #WAATlife #remotelearning #1stdayofschool https://t.co/e5UslxBO6M,,karencarlos1109,1,3,2020-08-12 23:44:06
20,"Picture of last year and this year. Two very different beginnings to school, but teachers are still excited, prepared, and determined than ever. #SEL #safety #bestpractices #content #distanceeducation What drives us? CHILDREN https://t.co/RR5FuEc4UC",,esther_kang,0,2,2020-08-12 22:33:38
21,5 days until the school year starts!! Stay tuned to see if I have enough coffee to fuel me 😂🤔 #AmericasHS #AHS #Trailblazers #DistanceEducation #backtoschool https://t.co/iZdX82y1k2,"Texas, USA",RHamacher_AHS,1,12,2020-08-12 21:37:48
22,"This is class of 2020! Will the #education continue at homes?

If you need stock photography related to online education in self isolation days please check my portfolio at @adobestock
 
https://t.co/UBo3hxRWes

#distanceeducation #COVID19  #virtualclassroom https://t.co/xqPmdNGz4v","Istanbul, Turkey",cemselvistocks,0,0,2020-08-12 18:50:05
23,"Back-to-School PC Upgrades to Supercharge
 
 Play new PC games with friends ❌
 For distance learning and online courses✔️
 
 #DistanceLearning #DistanceEducation #onlineclass #onlinelearning #hardware #Tech #shopping #onlineshopping #BTS #readyforschool #backtoschool #upgrade https://t.co/3MpMbwfB2a","Los Angeles, CA",GeILMemory,0,0,2020-08-12 15:03:09
24,"New York Post : More than 200,000 NYC parents want to keep their kids home: data.

#ReimagineEducation #ReinventEducation #RemoteLearning #DistanceEducation #DistanceLearning

https://t.co/z2Ul5licCL","Long Island, NY",DrKavner,0,0,2020-08-12 12:30:28
