,Content,Location,Username,Retweet-Count,Favorites,Created at
0,@SueBursztynski @IndiaHolton Teachers do the vast majority of the preparation(brilliantly). Categorical linguistic accuracy has not prevailed &amp; many people I know (who have more important things to worry about) call it homeschool but you’re quite right to say it’s more accurately labelled distance education,,EleniHale,0,1,2020-08-05 06:18:16
1,"Watch the full video of my manifestation at the Senate Committee on Higher, Technical, &amp; Vocational Education on Open Distance Learning here: 

https://t.co/zwlFw6MnGM",Philippines,piacayetano,0,0,2020-08-05 06:10:10
2,"Just a brief story about our Open Distance Learning Law. When I was in HK, I learned about a group of nuns whose ministry included distance education. They tied up with colleges/universities in the PH, which provided them modules. Many of our Filipina OFWs took courses from them.",Philippines,piacayetano,0,0,2020-08-05 06:08:52
3,Why NEP's emphasis on distance and technology-based learning is necessary https://t.co/jC19PWGqnY via @dailyo_,"Uttar Pradesh, India",simple_lifeme,0,0,2020-08-05 06:08:39
4,"As former Chair of the Senate Committee on Education, I sponsored the Open Distance Learning Act (RA 10650). The principal author was the late Sen. Ed Angara. A counterpart bill was also filed in the @HouseofRepsPH by then Aurora Rep., and now fellow Senator @sonnyangara.",Philippines,piacayetano,0,0,2020-08-05 06:08:29
5,"The @senatePH Committee on Higher, Technical, &amp; Vocational Education is now discussing a bill proposing to create an Online Learning and Distance Education Office in @PhCHED to address the changing needs of students beyond the #NewNormal.",Philippines,piacayetano,0,0,2020-08-05 06:08:06
6,"Pivot is offering FREE access to our Distance Learning Survey and Pulse Check tool to Victorian schools that have returned to remote learning.
Join our short info sessions to learn more: https://t.co/Qu3EPkFHNH 
#education #TeachVIC #remotelearning #teacher #covid19 https://t.co/7kMutftJ9s",Australia,Pivot_PL,0,0,2020-08-05 06:01:31
7,TAMU: “Y’all don’t have to pay the $50 distance education fee... “ 🤩✨ ...”but tuition is going up by $200” 🥵,"College Station, TX",_jules2020,0,0,2020-08-05 05:53:34
8,"@EleniHale No, what you’re doing is distance education, unless you are actually preparing the work and teaching them. But now you mention it, a bribe does sound like home schooling! 😁",Melbourne,SueBursztynski,0,0,2020-08-05 05:48:50
9,BrightShift is a new type of virtual learning environment made for the future of education technology. https://t.co/6G5GdgGuRW @shift_bright #edtech #distancelearning #education #brightshift,"San Diego, CA",merobertsjr,1,0,2020-08-05 05:44:32
10,Distance Education BA BCOM BBA BCA Admission 2020-2021 in Delhi: BCA Course Admission - Bachelor of Distance education https://t.co/mZA9atSnqv,"New Delhi, India",KapoorStudy,0,0,2020-08-05 05:44:27
11,Distance Education BA BCOM BBA BCA Admission 2020-2021 in Delhi: BBA Bachelor of Bussiness Administration Course Di... https://t.co/vYfp4RUAng via @pinterest,"New Delhi, India",KapoorStudy,0,0,2020-08-05 05:42:59
