,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"UV spectroscopy basic concepts
for https://t.co/8bVycNFfjY,https://t.co/Ojq9EFe42l, Chemistry students
those studying distance education

https://t.co/m9KcxKuZGv https://t.co/fQ0gT5VArD",,pcsaravanan855,0,0,2020-08-14 02:24:23
1,Streaming now: Education administrators for discuss return to fully distance learning https://t.co/Odok25la23,"Hagatna, Guam",kuamnews,0,0,2020-08-14 02:15:48
2,Mark Your Calendars! Dr. Shirley Weeber is hosting a virtual Education Town Hall - Please join me on August 15 from 11 a.m. to 1 p.m. at the 79th Assembly District’s Virtual Back to School Distance Learning Town Hall. https://t.co/f9lv0QPY5W https://t.co/VYRMpBbin5,"Lemon Grove, CA",LemonGroveSD,0,0,2020-08-14 02:12:28
3,@JohnDePetroshow Give ALL parents their tax money back let them decide where their children get an education. Students who do distance learning test them and DON’T pay teachers if students fail,401 / 239,RIBrat,0,0,2020-08-14 02:07:45
4,"While #MCPS schools can't be used for in-person learning, they can be used for in-person day care. It doesn't make sense, but the article tries to explain it:  #MDPublicEducation #COVID19 https://t.co/qEyevrNFoE","Potomac, MD",HalversonLaurie,0,0,2020-08-14 02:05:08
5,Palm Springs African American parent group to hold distance learning check-in event. https://t.co/jcN7BSxjF0,"Palm Springs, California",MyDesert,0,0,2020-08-14 02:00:13
6,Check out our flyer for a new course offering! Division 3 will be holding it’s first distance learning public education “Boat America” class in September.  Be sure to sign up! https://t.co/MhuQoWebT7,,uscgaux110303,0,0,2020-08-14 01:53:59
7,What does student assessment look like during distance learning? Check out this list of student portfolio apps + websites to help you browse through students' work remotely! #distancelearning #backtoschool2020 https://t.co/rg8SYNeaWY,"San Francisco, CA",CommonSenseEd,1,2,2020-08-14 01:51:02
8,"This is literally the opposite of the research. They want you approachable, like it’s office hours at a college. People LOVE Khan academy and it’s chalkboard nonsense and HATE the overproduced ASU style videos

I won distance education awards while applying this https://t.co/9P8nKZ8EdN","Falls Church, VA",chrispreperato,0,1,2020-08-14 01:50:23
9,@OFCSSuper there needs to be an extensive distance learning plan for those who dont want to risk their lives getting an education. i dont want my learning being crippled just because i dont wanna go into a school thats gonna have multiple cases the first day it opens,,avery_bat,0,3,2020-08-14 01:50:08
10,UEW Guidelines for the 2020 Distance Education Mature Entrance Examinations https://t.co/QjkDdoLBzt via @YouTube,UEW-WINNEBA,windybay983fm,0,0,2020-08-14 01:42:32
11,"@LCPSOfficial  has me absolutely heated right now. thankful i’ve taken education law classes to understand how poorly they are handling distance learning for children with more needs, especially with IEPs 🤬",The Edge,aimeeholland_,0,0,2020-08-14 01:42:13
12,"@Rajendr98319456 @suuprshiv @HKS_ENIGMA @manjesh2694 Mangalore is 41st best livable city of world &amp;  2nd in Asia. 12th best in World's health care. Be proud that a KA city is in global list. All these coz people here keep 1 KM distance from Roll Call Orgg. &amp; concentrate more for Culture, business &amp; education
https://t.co/U2MDGlZ3yc","मैंगलोर, भारत",me_ganesh14,0,0,2020-08-14 01:33:01
13,"Very thoughtful comments by @USCRossier professor @stephenaguilar discussing results of his study on the digital equity gap! 3-minute video of his interview on local NBC news. ""There's incompatibility with what schools want to do and what families have.""

https://t.co/cEPIoGapia","Irvine, California",markwarschauer,2,3,2020-08-14 01:28:42
14,ABS-CBN’s subsidiary Creative Programs Inc. (CPI) eyes partnership with regional cable operators across the country to carry Knowledge Channel and make use of their cable systems to provide TV-based learning as the Philippines shifts to distance education. https://t.co/U57zjqlRLH https://t.co/KPjJaznmGz,,ABSCBNpr,4,14,2020-08-14 01:20:04
15,"We need to start a wine delivery program for parents/teachers dealing w/distance education.

Each subject will have a special pairing. For instance, cabernet for music &amp; a chardonnay for math. We’d also offer a “Gifted &amp; Talented program” for those who can handle spirits all day.","Orange County, CA",inminivanhell,0,37,2020-08-14 01:13:47
16,"2020-2021 School-Year Program Information
A full-day recreation/education program will be offered for children K-8th grade during their “distance learning” weeks. For more information visit: https://t.co/BpLX8IONbw https://t.co/pAbfUsawiA",,fcsABQ,0,1,2020-08-14 01:05:10
17,"The Stilwell-area school offered a distance-learning option for students ""who cannot attend in person"" but began traditional in-person learning Aug. 6. https://t.co/H9PYK89zGB","Tulsa, Okla.",tulsaworld,0,1,2020-08-14 01:00:16
