,Content,Location,Username,Retweet-Count,Favorites,Created at
0,So I have taken on teaching my child for the full year along 5 days a week with her friend for 3 days. Distant learning and need a table. Should I get this one and bite the bullet with the price? The other tables are too small. This is adjustable. #distancelearning #help https://t.co/fzpllUe4Cc,"USA, San Jose, CA",tk408,0,0,2020-08-02 04:16:23
1,"Shirts for my 5th grade team ❤️ This message is always important, but especially this year! #lovefirstteachsecond #distancelearning https://t.co/jigZTWIQbQ",TX,MsRodarteEP,0,3,2020-08-02 04:12:23
2,"My new blog post is up - a virtual assembly. Do give it a read and share your feedback :) 
https://t.co/rWEmpBxUmf
#blog #virtualassembly #DistanceLearning #pypteacher #pypblogger","Gurgaon, India",soniatrakroo,0,2,2020-08-02 04:12:14
3,"@33heupel @NickGotTechEd @GuiseGotTechEd @emilylahredu @MsDotysClass @dailystem @schnekser @SchmidtChemist @KollmanRebecca @JakeMillerTech The @AmerChemSociety has some well designed, safe, and fun activities for middle school. Here’s one of my favorites to introduce the concept of chemical reactions. With a little adult supervision, it can even be adapted to #distancelearning https://t.co/8VwtK2Yq21","Shanghai, People's Republic of China",PettwayAJ,0,0,2020-08-02 04:03:49
4,"It’s almost #Hybridteacherpd day!  Are you ready?  Sunday, 8/2 6:30PM CST #HybridTeacher #BetterTogether #GlobalGEG #edutwitter #edchat #distancelearning @emmabpass #learning https://t.co/DGQ1DWHWq5","St Charles, MO",StephensSTEM,0,0,2020-08-02 04:00:00
5,"@SassyKadiK I find it incredible that people are going along with this idiocy.

Politicians pushing for school openings IN THE MIDDLE OF A RAGING PANDEMIC should not be listened to.

We KNOW students, teachers, and staff will be infected, get sick, and that some will die.
#DistanceLearning","Sacramento, CA",zaph77,0,1,2020-08-02 03:49:30
6,"My “Wild About Animals” @outschool class is RE-LISTED 🥳🥳🥳
(I accidentally removed it last week🤦‍♀️)
 
https://t.co/kvMbQmTFLb 

•

•

•
#animals #Onlineclass #funforkids #animallovers #DistanceLearning #outschool #virtuallearning #scicomm #learningfromhome #learningmadefun","Orange, CA",Doodlebugs_Adv,2,3,2020-08-02 03:49:01
7,"🥳TRAINING AND IMPLEMENTATION WEBINARS!! 4️⃣ times every Tuesday. Our team of specialist will help you with #hybridlearning #distancelearning w/ extra focus on
8/4-Basic Setup

8/11-Live Stream

8/18-Recording

8/25-Swivl Teams Basics
  
Register  ⬇️ https://t.co/vov0VqIoi3 https://t.co/IJk7AAupXz","Menlo Park, CA",swivl,1,0,2020-08-02 03:49:01
8,"@Mrs_DeeBuck @codeninjas @elemteach3r @Sra_DJGC @towngirl772 If anything, here's my link ⬇️consists of items and tools for #distancelearning and in class learning https://t.co/M81a74HJJX Anything donated is greatly appreciated ☺️💕 https://t.co/bTvN6gf9yg",Brooklyn NY,aamy4ever,0,0,2020-08-02 03:48:48
9,"If you follow the workshop model and teach in #Spanish - then you need to follow @chiagirl30. Lucia, your craft, love and dedication for what you do is out of this world. #goals #distancelearning #ibetterpreprare https://t.co/V6HK6Tny97",California,learningintwo,1,4,2020-08-02 03:41:24
10,(AP News) Barron Trump’s private school to stay closed for now https://t.co/cIpm52RUda #DiseasesAndConditions #DistanceLearning #Education #GovernmentAndPolitics #Health #InfectiousDiseases #LungDisease,California,WatchOurCity,2,0,2020-08-02 03:20:23
11,@timetoteachstem @support_a_teach @ClearTheListorg Establish structure and routines. Humans are pattern seeking.  Patterns are just as important in #distancelearning https://t.co/30Da55tAIW #clearthelist https://t.co/pIfvYNsFG6,"Maryland, USA",MrsAtalaPK,0,2,2020-08-02 03:05:30
12,All I can think about is #DistanceLearning and going back to work but today we have been thinking about this playroom. This coming October will be our 15th Wedding Anniversary and this is the 1st big home improvement project we’ve done with our own two hands. 😆 https://t.co/DqXghqGIeP,California,Monica_M_Daniel,1,2,2020-08-02 02:55:55
13,Here’s a cute little video that you can use to teach your students Distance Learning etiquette. 😃 #distancelearning #virtualmeetingexpectations  https://t.co/cT93Gxod1Z,,thatfunteacher,1,0,2020-08-02 02:53:37
14,"Missing Number (Addition)

Get a different game every time you play. It's a smart way to sharpen your math skills. 

Check out https://t.co/mLDoehPBdo

#mathninja #STEM #mathgames #elementarymath #distancelearning #mathchat #remotelearning #iteachmath #mtbos #elemmathchat #edchat https://t.co/vaw7qlMrcA","Chicago, IL",MathNinjaApp,4,3,2020-08-02 02:49:21
15,I can see the image being shown on a @Flipgrid  then having students record what &amp; how they counted. #iteachmath #DistanceLearning https://t.co/Rw7HDAZeJ4,,TinaR_Starks,2,2,2020-08-02 02:48:11
16,A timely and topical webinar.  We look forward to seeing you there. #remotelearning #distancelearning #schools #studentengagement #teacher  https://t.co/g8Q7nqfHpe #TryBooking via @TryBooking,,KristyPathways,2,1,2020-08-02 02:46:39
17,"Don't miss out on a fantastic learning opportunity this week with @Buncee Creative  Beginnings https://t.co/HnOG4Txrnj to register, starting on Monday! #education #edchat #SEL #ETCoaches #k12 #STEM #ditcit #educhat #distancelearning #STEM #edtech @Rdene915 https://t.co/dJU5CMjoDH",,thriveinedu,8,5,2020-08-02 02:44:01
18,"@GovMikeDeWine 

Please, learn from IN and AR. Move classes to online only.

You and Dr. Acton were right from the start. Keep doing the right thing. Cancel in-person classes.

#distancelearning 
#protectourkids 
#ProtectOurTeachers 
#onlineclasses 
#GovDeWine 
#FlattenTheCurve",Ohio,GoGreenGirl5,0,0,2020-08-02 02:43:14
