,Content,Location,Username,Retweet-Count,Favorites,Created at
0,Parents be like #distancelearning #ifyouknowyouknow https://t.co/IuHGl4D6po,,setarehsiavash,0,0,2020-08-13 17:56:25
1,"Mood:
#teacherlife #distancelearning https://t.co/cH8s4bNVvA",The slums of Shaolin,La_MuerteBlanca,0,0,2020-08-13 17:56:17
2,"We recently updated ALL-IN, our year-long bullying prevention toolkit, to accommodate distance learning.

View at https://t.co/LbijZ48AcZ.

#SEL #socialemotionallearning #bullyingprevention #cyberbullying #distancelearning #remotelearning #virtualclassroom",,PACER_NBPC,0,0,2020-08-13 17:55:22
3,"Hello Room B215...it was good to see you! I loaded up our Veer wagon with a new @Lumenseurope document camera, picture books, chart paper, and more! Hope to see you again soon, @CarrilloES_HISD! #distancelearning #Imissmyclassroom #StaySafeStayHealthy https://t.co/Z9E4wM40qw",Carrillo Elementary School,MrsVsChaos,0,0,2020-08-13 17:55:01
4,Looking forward to the first lecture tonight in the Professional Diploma in HR management @ucddublin #lifelonglearning #distancelearning https://t.co/VIM2I0Og9V,"Cork, Ireland",Hugh_Coughlan,0,0,2020-08-13 17:54:31
5,Looking for an idea of what distance learning looks like and where teachers are going to be teaching from #edchat #masterychat #teachpos #crazypln #4OCFPLN #k12 #distancelearning #remotelearning #edutwitter,Pittsburgh,Rdene915,0,0,2020-08-13 17:54:12
6,"#educators #Teachers this was just fun ...and, well of course, informative. Ann covers it all! Listened 2x as I worked coz @annkozma723 has a happy voice! Nicely done, @TeachersOnFire!🔥 

#distancelearning #edchat #elchat #dyslexia @LangstonLeague @MadeByDyslexia #FlipgridForAll https://t.co/VW8gSqMXIU",CA,LexendFonts,1,1,2020-08-13 17:53:58
7,"CAT arts programs will be running virtually for the 20-21 school year - visit https://t.co/j0kIH2lyWG for info about all of our programs.

#artsed #youththeatre #afterschool #musiced #musictech #shakespeare #distancelearning #soundthinkingnyc @CATYouthTheatre @NYCSchools @UFT https://t.co/QgsV361wiX","New York, NY",cunycat74,1,0,2020-08-13 17:53:38
8,"A safe &amp; joyous kick off to induction at Washington Learning Community! We believe learners deserve the best possible start to #distancelearning, providing each learner w/ their own box of instructional resources, technology, and other learning supports. #Lindsayisopenforlearning https://t.co/II6ZyY3TBJ","Lindsay, CA",Lindsay_USD,1,1,2020-08-13 17:53:37
9,"When you see the student materials laid out like this, it almost takes your breath away. This is JUST half of 7th grade. #distancelearning #redbirdsrise https://t.co/gaSIMVgqgi",,JessicaLynn1081,2,2,2020-08-13 17:51:34
10,"Here are some edtech pandemic pivots to watch. https://t.co/YL4DVzwFcH  
⠀
Follow the link below to read more.⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
https://t.co/eSNfrFGkhX
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
#edtech #homeschool #onlinetuition #onlinetutors #distancelearning",,app_sophia,1,0,2020-08-13 17:51:34
11,"While this brings some relief to exhausted parents, it also raises health concerns: “If it’s not safe to open schools this fall, why would learning hubs be any different?”

#distancelearning #learninghubs #elearning #parents #schools #education #educator #learningonline","Kansas City, Kansas",Quantum_HP,0,1,2020-08-13 17:51:29
12,"As many schools prepare to welcome students in #DistanceLearning contexts, @PossipIt shares tips on how to build a welcoming virtual schooling environment for parents: https://t.co/znxgo5Yacu #BacktoSchool #edchat",,InstructUP,1,0,2020-08-13 17:50:02
