,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"We've already received a lot of questions about real-time distance learning starting this fall.

Learn more about what's ahead and get your questions answered during our weekly family webinars, happening Thursdays this month.

Register at https://t.co/MlaAX6Hiea https://t.co/DC9SmWy1Cr","Spokane, WA",spokaneschools,0,0,2020-08-04 19:38:28
1,Missed class today? How to Use websites for Distance Learning https://t.co/sPVouRXqi5,,JHarrisReading,0,0,2020-08-04 19:38:09
2,"@Natalia77065471 @senatorduff @medit8now The school reopening guideline is available online. Right now, both distance learning and in person are optional for parents and will continue to be in accordance with ongoing recommendations from health professionals",,ourbigbreak,0,0,2020-08-04 19:37:36
3,@RedState420Esq @Rae_volution @Freeyourmindkid Nothing that either child would be learning at that age can't be caught up when it's safe to do so. The whole concept of distance learning at that age is ridiculous.,"Winnipeg, Treaty 1 territory",EdVorst,0,0,2020-08-04 19:37:21
4,"Reporter friends - is it odd there are dozens of questions to Gov DeWine about schools &amp; sports and few to none on how working parents are going to manage prolonged distance learning?

Employer flexibility / nannies are only going to cut it for a small segment of the population.","Columbus, OH - usually.",bethvanderkooi,1,0,2020-08-04 19:37:06
5,"@ClairesOwner @TheGentYYC @alberta_moms @linzstam @SouthMacedonian @micropainter @UCalgary @gilmcgowan @RachelNotley @KathleenGanley @DruhFarrell @nenshi @AdrianaLaGrange My solution for the Subs and ESAs (formally referred to as TAs decades prior 😳) is to use them to support the distance learning students while the full time K-12 teachers focus on the 1-8s in school full time.

So no contact.

1-8 should stay in one class with teachers moving.",,NOT2FAST,1,0,2020-08-04 19:36:47
6,"Our team has been hard at work over the past month preparing for distance learning, and we're so excited to launch this new year with our students and families! Let's do this! #TeamandFamily https://t.co/TTuvHVuN6R","Nashville, TN",KIPP_Nashville,1,0,2020-08-04 19:35:22
7,"Join @GetToKnowBDO's 8/6 #webinar to hear from their interns about their summer 2020 #internship experience during office closures, distance learning and working from home. More details: https://t.co/nMCdLdqkuE https://t.co/SiKZFxzYZj","Arlington, VA",TimothyMRoss,0,0,2020-08-04 19:34:50
8,"@GovernorBullock Please, mandate distance learning, for the first few months.  Billings is spiking, and it’s so dangerous, and terrifying, for our children and school staff.","Billings, MT",kellyosborne406,0,0,2020-08-04 19:34:48
9,"@simpobama69 @RexChapman Thankful that here in Oregon, us Teachers are doing Distance Learning again. Governor Brown set standards for Covid cases v. Population of the counties. We were just above the standard in our district. So we will not even take a 0.0% chance of being in our buildings. 🙏🏼",,JoeyFBI,0,0,2020-08-04 19:34:35
10,Distance Learning...what a different beast....but will conquer it!! https://t.co/TuNK9nfKIq,Sunny California,conniej100,0,0,2020-08-04 19:33:03
11,"@Trish_Crain I will have approximately 22 students per class of 13/14 year olds, after subtracting those who chose distance learning. I can’t get 22 kids 3 ft part, much less 6. This is a joke!",,mahabrok,0,0,2020-08-04 19:32:52
12,"@AsaHutchinson @AsaHutchinson, How many Arkansas students and educators will have to die before you instruct @ArkansasEd to switch to distance learning only?",,BruceWard2,0,0,2020-08-04 19:32:25
13,"Brainspark! Since we are in distance learning, I added a small addition to my ""get to know you student survey"" this year. I did a video screen-share of me answering the same questions. Embedded it on the form at the end. Reciprocity in different ways!  #FDRrocks","Lima, Peru | Edmonton, Canada",kels_giroux,0,0,2020-08-04 19:32:11
14,I start high school next week. I DON'T WANNA DO DISTANCE LEARNING! I WANNA SEE MY TEACHERS AND FRIENDS! SAVE MEEE 😭😭😫😫,,pandacat1174,0,0,2020-08-04 19:31:23
15,Updated information is on our website for traditional and distance learning students! A school messenger will go out later today with more information! https://t.co/BayEByHYkD,"Murfreesboro, TN",SiegelMiddle,0,0,2020-08-04 19:31:22
16,"@Mum2Mrs @ImpeachmentHour Respectfully disagree. Every single one of us has had to learn how to distance ourselves, 6 ft apart, not shake hands, not hug, not lean in. Teachers are in no special position here to “train” new behavior. That’s disingenuous. We are all learning how to navigate distancing.",NYC burbs (Nyack),BreastfeedingNY,0,0,2020-08-04 19:31:18
17,"We may be starting with distance learning, but that doesn’t make education any less important to fully fund. Drastic cuts would be disastrous for California’s students and @repmikegarcia you have the power to help. Please #FundEducation in the next stimulus. #AfterschoolWorks https://t.co/HRn9tRtS7M","Ontario, CA",WendyElizalde11,0,0,2020-08-04 19:31:17
18,"We may be starting with distance learning, but that doesn’t make education any less important to fully fund. Drastic cuts would be disastrous for California’s students and @KenCalvert you have the power to help. Please #FundEducation in the next stimulus. #AfterschoolWorks https://t.co/UZ3TUOUaHL","Ontario, CA",WendyElizalde11,0,0,2020-08-04 19:31:15
19,"We may be starting with distance learning, but that doesn’t make education any less important to fully fund. Drastic cuts would be disastrous for California’s students and @GOPLeader you have the power to help. Please #FundEducation in the next stimulus. #AfterschoolWorks https://t.co/VpczvRa6aM","Ontario, CA",WendyElizalde11,0,0,2020-08-04 19:31:13
20,"We may be starting with distance learning, but that doesn’t make education any less important to fully fund. Drastic cuts would be disastrous for California’s students and @RepPaulCook you have the power to help. Please #FundEducation in the next stimulus. #AfterschoolWorks https://t.co/Vl6s6jjcKW","Ontario, CA",WendyElizalde11,0,0,2020-08-04 19:31:11
21,@DrKateTO @Travisdhanraj @fordnation @sickkids Students who unregister for home schooling or private schools will not be funded at the school or board level. Students doing distance learning should continue to be funded.,"Ontario, Canada",AnnaMRG,0,1,2020-08-04 19:30:54
22,"@KVP798 We’re in Keene ISD. My son is distance learning, but apparently we’re only part of 20% of students who chose that option. The rule so far is that one positive test result shuts the district down. 

I’m giving it 3 weeks, tops. 😑",Texas,morgana_SSS,0,1,2020-08-04 19:30:32
23,Districts Pivot Their Strategies to Reduce Chronic Absenteeism During Distance Learning https://t.co/hhgmEUrFM4 #edtech via @EdSurge,worldwide,rickferdig,0,0,2020-08-04 19:30:05
