,Content,Location,Username,Retweet-Count,Favorites,Created at
0,dean just signed up to our Vehicle Safety at Work and Banksman Awareness online e-learning training course! Find out more about this course and how you can train online here &gt;&gt; https://t.co/9OVIM6skfk,,moore_daryl,0,0,2020-08-05 07:36:09
1,@CNNnewsroom @brikeilarcnn This is horrible and common. She chose life. It is a travesty that Trump and GOP governors are forcing brick and mortar. The lack of courage by local school boards and superintendents to place safety 1st by e-learning is equally a travesty. @T_Shamburger,,PByronGT,0,0,2020-08-05 07:35:57
2,"Babcock University &amp; other Private Schools were using Online Learning all these while to continue the Session. Meanwhile ASUU said Public Institutions don't have the capability of doing E-learning yet.
Pls don't ever call Private Institutions ""Advanced Secondary Schools"" again.",Nigeria,OyesikuBamise,0,1,2020-08-05 07:33:43
3,"@fistral_beach @LeaveEUOfficial @SimonClarkeMP Teachers have a clear idea of children learning styles and achievement levels. 
1. Let them lead methods of alternative learning, that's part of their job
2. Determine who attends class and who can do it from home
3. e-Learning, interactive learning
4. Project work
and more...",,marvinperrott,0,0,2020-08-05 07:32:42
4,"Did you know that #ajiry has an e-learning platform https://t.co/Y6ROlgPihO that can enable you build a course and educate someone during this period?Now this is what being productive means, click the link to get started.
@AjiryKE 
#learnwithajiry
#ajiryinkisumu",Nairobi,daisyOmondii,4,5,2020-08-05 07:25:56
5,"@FoodSystems @ABMT_ke @mfregene77 @HamadiIddiBoga @RuthKOniango @XHNews With our e-learning platform, the youths can ably take part in free online courses to enable them become self-sustainable farmers. Visit us at https://t.co/Nm1oZT3TIw. https://t.co/nzQELJToco","Kampala, Uganda",agribdcu,0,0,2020-08-05 07:15:23
6,"My parents have been attending webinars 4 days, learning about their new e-learning platform. Both taking down notes, documenting every process step-by-step. Halos di sila kakain. Thats how passionate &amp; dedicated they are.

I wonder how many teachers out there have d same mindset","Zamboanga City, Philippines",iamidiosyncratc,0,5,2020-08-05 07:13:08
7,TelOne launches e-learning platform https://t.co/MBBBfZtA4s,"Bulawayo, Zimbabwe",ChronicleZim,0,1,2020-08-05 07:12:02
8,Do you care for someone suffering from dysphagia? @HEE_TEL with @sheffieldhosp @RCSLT @Devices4Dignity have developed this e-learning resource now available on the e-LFH Hub. Visit https://t.co/uADGVREozw to complete the five sessions. https://t.co/mBJcrf5mYs,Across the UK,HEE_TEL,1,0,2020-08-05 07:10:06
9,Naperville School District 203 Superintendent Dan Bridges: ‘We are well situated to be able to deliver this e-learning model’ https://t.co/sw3p5lAQmK,Illinois,ILSchoolNet,0,0,2020-08-05 07:08:22
10,@caz_anda I'm having to write e-learning courses at the moment and it's pissing me off,Navigating the nine circles.,doghandleruk,0,1,2020-08-05 07:07:47
11,FEDIAF launches e-learning guide to improve understanding of pet food legislation https://t.co/sw6e48Nvi0,United States,vetswithpets00,0,0,2020-08-05 07:06:21
12,"Some of Participants’ Testimonials about Hesham Mokhiemer.
You too can have the chance to learn #CMA, #IFRS from a certified expert Hesham Mokhiemer, follow us to stay updated with our brand new E-Learning platform for #finance  #finance and #accounting tutorials. https://t.co/n30RiHl1YR",Saudi Arabia ,TFinanceer,0,0,2020-08-05 07:06:12
13,"How Can Kids From Public Primary Schools Access E-learning?

Covid-19 has messed up the normalcy. We are living in the new normal. We are only hoping that things will go back to how they used to be. 

#MwalimuPlus 
@MwalimuPlus
#SokoNews 
https://t.co/xy17KQhB6E… https://t.co/957DlCdDC2","Nairobi, Kenya",Raptor_Kenya,0,0,2020-08-05 07:03:07
14,Have I ever mentioned I hate e-learning with a passion.... 🥺,planet panda/baby yoda,caz_anda,0,2,2020-08-05 07:02:55
15,"The E-Learning Industry in India is growing at an average rate of 25% year-after-year. 90% of the information transmitted to the brain is visual. 
#eLearning #MobileApp #WebApplication #6thto11thGrade https://t.co/xrB1Tlw0vD",,VedamCloud,0,0,2020-08-05 07:00:11
16,"How Can Kids From Public Primary Schools Access E-learning? https://t.co/uFkVWbs26N  #SokoNews #MwalimuPlus @MwalimuPlus

Image Courtesy https://t.co/khAy39jAeF",Nairobi.,SokoAnalyst,0,0,2020-08-05 06:58:59
17,"@elizabeth_joh Here is an #xmpp #elearning group ,that runs on #tor 
xmpp:e-learning@conference.xmpp-hosting.de?join
and walk-through to join 
https://t.co/f5aPz5ON8c

Hope it helps",epistemological void ,sudounfollow,0,0,2020-08-05 06:50:17
18,"#DelhiGovt collaborates with Career Launcher to develop e-learning infrastructure for career guidance &amp; mock tests.

The programme now serves over 16.5k students with extremely high rates of engagement - 90 % of students enrolled are regularly active.

https://t.co/wnao3z38ow","Punjab, India",sahnipuneet,0,0,2020-08-05 06:50:05
19,"The Only Way To Learn Technology Is To Implement Technology Starts your certification now on the @blocklogy E-learning app to learn your favorite technologies right on the phone.

To know more, click below! https://t.co/6jbeuynoMd

#blocklogy #elearning #blockchain https://t.co/aXc71RL572",,blocklogy,0,5,2020-08-05 06:49:41
20,"@dingzreloaded Some1 definately has to come to the rescue, why are we being neglected like this?😠  we haven't received laptops for e-learning😠🤷, our rental allowances are omitted, this management is really masturbating wth us serious. 
#univenmustfall
#WarOnunivencorruption","Phalaborwa, South Africa",Ntsako89570479,8,9,2020-08-05 06:47:34
21,There is need to scale-up #cashtrasfers programming to in the context of #COVID19 to support e-learning for most girls in the rural areas https://t.co/l8iowI8pPy,,CMweembe,0,0,2020-08-05 06:40:16
22,Autism - Tony Attwood Free Course Signup - Sue Larkey E-Learning https://t.co/FsQH9I031D,"Elephant and Castle, London",LsbuTeacher,0,0,2020-08-05 06:37:38
23,"How To Create E-Learning Platforms Like Udemy Or Coursera
#eLearning #coursera #udemy #elearningplatforms
https://t.co/C4Duvmm7aB",India #USA #UK,angularminds,0,1,2020-08-05 06:35:05
24,@KHDA Please keep e-learning as available choice. It is not a normal year while the whole world is struggling fighting with a new virus to which we have very limited knowledge and treatment.  Keep the e-learning as a choice is true necessary!  Keep kids safe!,,floria_han,0,0,2020-08-05 06:34:15
25,"E-Learning: Creative activities

#funlearning
#craft https://t.co/4VwTCMjUqo",Nairobi Kenya,sthannahs,0,0,2020-08-05 06:30:50
26,"Simply Days are passing yet Draft as not been issued yet,Modular courses please start virtual classes for oil Tanker Familiarisation??Done E-learning back 4 Month?@dgship_goi @AbdulganiSerang @shipmin_india it's being difficult for Cadets @PrasharSdp",Mumbai,ladakshay11,0,0,2020-08-05 06:29:36
27,"#DelhiGovt collaborates with Career Launcher to develop e-learning infrastructure for career guidance &amp; mock tests.

The programme now serves over 16.5k students with extremely high rates of engagement - 90 % of students enrolled are regularly active.

https://t.co/sY7UE2a50K",India,AAPInNews,10,16,2020-08-05 06:27:59
28,"How Can Kids From Public Primary Schools Access E-learning?

Covid-19 has messed up the normalcy. We are living in the new normal. We are only hoping that things will go back to how they used to be. 

@MwalimuPlus 
#MwalimuPlus 
#SokoNews 
https://t.co/KBHkKAyYAj https://t.co/EWRbNt4hZK","Nairobi, Kenya",TVSokoKe_,1,0,2020-08-05 06:23:38
29,"The Only Way To Learn Technology Is To Implement Technology Starts your certification now on the Blocklogy E-learning app to learn your favorite technologies right on the phone.

To know more, click below! https://t.co/vN2oRVYH2d

#blocklogy #elearning #blockchain https://t.co/hXv3xlnn3S",,kmpards,0,4,2020-08-05 06:12:29
30,SPONSORED: 5 Advantages of SafetyWallet’s Health and Safety E-Learning https://t.co/2c9n3AsuCQ,South Africa,TheCitizen_News,0,0,2020-08-05 06:11:23
31,The annoying part of e-learning is the assessment 😔,LYS SG 190119,sorajinnie,0,0,2020-08-05 06:10:31
32,"@BanireMuneerah @nur_yish Tbh, at this point, it's as though you're deliberately missing the point. You brought up the fact that both the rich and the poor had internet access as a way of suggesting that public schools can effectively forge ahead with e-learning...",The Coal City,Only1Chiboy,0,0,2020-08-05 06:06:26
33,"Digital Class E-Learning Marketplace
Std.10th Social Science Course by Sayad Taha Sir Available on Digital Class E-Learning Marketplace 
Course by: Mr. Sayad Taha Sir 
Download Digital Class App Now &amp; Sign up FREE
  
#Digitalclassonlinecourses
https://t.co/QhCEwfQuYY https://t.co/SblExBxNVq",Gujarat,DigitalClassIN,0,0,2020-08-05 06:05:44
34,"As e-learning takes hold, creators flock to startups, #byjus
https://t.co/yC26YUHoXg",,RangasamiVani,0,1,2020-08-05 06:05:37
35,I just wanna know how Octomom is handling e-learning,,PerfectYouRenee,0,0,2020-08-05 06:05:17
36,"@rajeshsawhney School/Tuition/College education costs a lot. A few companies have already dropped formal degree as prerequisite for job. Professionals might take ad-hoc micro-courses. My guess is, the next $100B company would be in e-learning. I see Byju's is not in a hurry &amp; is focused.",Chennai,ashokprabhut,0,0,2020-08-05 06:03:58
37,"To motivate and encourage your team members to become actively involved in the workplace, there's a need to create a winning gamification strategy. How you can go about creating a winning e-learning gamification strategy in your organization?
https://t.co/SEtdB694fL
@firmwater https://t.co/M6nMnnIMXg","UK,India",wizcabin,0,1,2020-08-05 05:58:04
38,"@Proffy44 @OgbeniDipo This new Era will change that story, has other private school not done same now, the same open uni that was washed down. E-learning has come to stay forever.",Lagos Nigeria.,Benyork4,0,0,2020-08-05 05:56:24
39,"Eager to learn the concept of #FinancialPlanning and a goal-based approach to managing it, from our #CRISIL experts? Join the #WealthManagement course, on #CRISIL’s e-learning platform. Register now : https://t.co/NNRFJGEfG7 https://t.co/vJnr02VmjG",,CRISILLimited,0,0,2020-08-05 05:53:18
40,"ENCCMP India's most comprehensive fully recorded financial market program jointly certified by NSE Academy &amp; Elearnmarkets now has high rated e-learning module with over 200 videos and 22+ hrs of content.

https://t.co/6y06IrhO4e
Use code ENCCMP6K  to avail a 30% fee waiver https://t.co/Hu8N2QqY7K","Kolkata, India",KredentAcademy,0,0,2020-08-05 05:49:52
41,"Stay safe, Go digital. Access Kenya Literature Bureau's E-Learning materials through https://t.co/IBevJRZNFp, https://t.co/yalWVBdQvz &amp; https://t.co/OkiZJc1hV3 #literacy #publishing https://t.co/qArDSN8QEC","Nairobi, Kenya",klb_kenya,0,0,2020-08-05 05:47:29
42,"As e-learning takes hold, creators flock to startups, #byjus
https://t.co/E1BwErIb8f",,SunitaBhargav11,0,0,2020-08-05 05:45:36
43,"What does this even mean? We're talking of lack of capacity to get on e-learning, you're talking about selling handouts and assignments.. some issues are beyond petty analysis really. https://t.co/hopFUQOSkb","Abuja, Nigeria.",olorunwababs,0,0,2020-08-05 05:44:41
44,@Neuron_1337 @TotalweirdoT @catlady111310 @whoredenfelder @Naj29148 @star_savvy @ProjectLincoln @realDonaldTrump You know the kids live with older people right? How does one year of e-learning vs knowing you infected your parent/grandparent impact a kid?,,crash0152,0,0,2020-08-05 05:40:50
45,"ENCCMP India's most comprehensive fully recorded financial market program jointly certified by NSE Academy &amp; Elearnmarkets now has high rated e-learning module with over 200 videos and 22+ hrs of content.

https://t.co/x1c2bCbPGG
Use code ENCCMP6K  to avail a 30% fee waiver https://t.co/hQ3h5pEsBN",India,elearnmarkets,0,2,2020-08-05 05:30:14
46,E-LEARNING https://t.co/XcYniShfJJ,Gye,MafeerPB,0,0,2020-08-05 05:28:56
47,"E-learning Website Template

#ui8 https://t.co/jXwkPz9tIA 
#dribble https://t.co/o4dCOsj6rT
#behance https://t.co/FeawXNwB5X

#design #ui #ux #designstudio #uxdesign #uxui #uidesigner #uitrends #appdesign #designinspiration #uiux #uxdesigner #userinterface #themadbrains
#learning https://t.co/7TaiDB2VbI","Punjab, India",TheMadbrains,0,0,2020-08-05 05:27:14
48,"but everything's kinda broken just now, might be a good time to start trying something different. I mean, you should see the hack job of wild west e-learning thought up by the peter's principle dream team of the local public schools. bush league.",baltimore,misternineham,0,0,2020-08-05 05:25:17
49,"My brother needs all the help he can get with schooling, and he’ll be e-learning once everything picks back up in September. I’m really scared of what little time I’ll have for myself, and I just really hope I’ll remember to take care of myself too.","Chicago, Illinois ",LdubThewood,0,1,2020-08-05 05:19:34
