,Content,Location,Username,Retweet-Count,Favorites,Created at
0,BE INDICTED AFTER THE ELECTION.  THERE ARE KIDS FROM AGES 3-17 BEING HELD IN VERY LOW OXYGEN UNDERGROUND CAVES IN CAGES.  OUR SEALS JUST LIBERATED AROUND 2000 KIDS BEING HELD UNDERGROUND IN NORTHERN CALIF. THESE SEALS PRACTICED LIKE DOGS LEARNING TO FIGHT IN PURE DARKNESS.  PG&amp;E,United States,KeahouKing,0,0,2020-08-14 04:44:53
1,Checklist for Getting Started in ELearning: https://t.co/eoPecD5oMe #HR,"Blackwood, NJ",Atrixware,0,0,2020-08-14 04:44:02
2,"WHERE ARE MY “FOODIES” AT?

Would you be interested in a fun, informative &amp; interactive journey (land, sea or a combo of both) exploring the globe with the main focus of satisfying your curious palate while learning about all the amazing delicacies the E… https://t.co/thXtxju6g9 https://t.co/JHVqeKKbCx","Fort Lauderdale, FL",MWKVacations,0,0,2020-08-14 04:39:08
3,"[WATCH] Grab your headsets, notebooks, and pens because our FB Live Learning Session with Ms. Belle Capitle entitled, “Reconfigure and Renew: Classroom Management involving Parents in an Online Environment.""

https://t.co/EuX7ZkJ33N","Quezon City, Philippines",vibalgroup,0,0,2020-08-14 04:38:21
4,"To effectively engage students in learning, and to make learning a fun engaging experience, #IEEESBRIT presents to you Technical Treasure Hunt as part of Independence Day celebration.
To become the treasure hunter in the field of knowledge, register here : https://t.co/PutAv7bH2s https://t.co/WVxAOKek7i",,ieeesbrit,0,0,2020-08-14 04:31:51
5,"Alhuda CIBE is pleased to offer globally accepted Distance Learning Programs(Diploma in Islamic banking, Takaful, Sukuk, Fund, Microfinance)
For more information please visit: https://t.co/CnGJS9nHBl OR Email us at E: Info@alhudacibe.com/ coordinator@alhudacibe.com or you can… https://t.co/hxWCWe4s5k",,Yusrabuttt,0,0,2020-08-14 04:31:21
6,"This Sat, 8/15, join @HolyNamesUniv School of Education's conference for parents and teachers navigating distance learning. Be sure to check out the break out session for parents of children under five years old (1:00–2:00 pm). Register at https://t.co/g1sIWS03c9.","Alameda County, CA",First5Alameda,0,0,2020-08-14 04:30:35
7,"How do we deliver meaningful learning at distance, especially now that we?e no longer using face-to-face delivery?

To answer this question, join us in this webinar,  https://t.co/g1ekA2Tkh7

#training #elearning #TrainingAndDevelopment #LearningandDevelopment https://t.co/INzBeBKeEO",,trainmagnetwork,0,0,2020-08-14 04:25:02
8,"Neuroscience, AI and the Future of Education | Scott Bolland | TEDxSouthBank https://t.co/4MjhulKQzU  #AI #artificialIntelligence #educación #education #eLearning #IA #inteligenciaArtificial #machineLearning #neuroeducación #neurology #neuroscience #science #edtech #tech https://t.co/FA8aHRGrvz",Sevilla,eraser,2,0,2020-08-14 04:20:02
9,"PLDT Enterprise Provides SMART Giga Study, E-Learning Tools for PACU’s 196 Member Schools https://t.co/jY1Q1xpDbu",,trendhotspot,0,0,2020-08-14 04:14:25
10,Successful Elearning in 4 Steps. Lindsay Thomson. @lynda https://t.co/f6sTa2DIm9  #elearning #lifelonglearning #learning #digitalLearning #onlinelearning #mlearning #diseñoinstruccional #instructionaldesign #education #edtech #distanceeducation https://t.co/ZP600ndHbi,Sevilla,eraser,0,0,2020-08-14 04:10:43
11,"N U M B E R  F O U R : don’t monopolize the conversation

#Thursday #ThursdayThoughts #learning #know #55things #tweetseries","Vancouver, BC",_mlcastles,0,0,2020-08-14 04:06:53
12,"E G O  T R I P.
⇴
This is Desikachar’s self-reported conversation with his father, Krishnamacharya, regarding learning his ability to stop his heart from beating.
.
Krishnamacharya continues, “I had to do this do… https://t.co/gezjnX2XhM",Kuala Lumpur,asubtlebreath,0,0,2020-08-14 04:03:01
13,"Teaching and Learning Through Educational Software Programs https://t.co/KK9qNIH4lc
#edtech #edchat #education #teaching #learning #LearningPlatform https://t.co/Q4TtwyDHrC",India,etr_in,0,1,2020-08-14 04:00:04
14,"GOMBE JUNIOR SCHOOL E-LEARNING UGANDA SCIENCE LESSON, MACHINES, (MECHANICAL ADVANTAGE) https://t.co/B1hlzOpxvf",Uganda,SharebilityUg,0,1,2020-08-14 03:58:07
15,"no fucking way...
koreans made a black person apologize for speaking out about some korean kids doing blackface for fun
nobody’s learning new things huh",,6_e_l_a,4,0,2020-08-14 03:53:01
16,@ITSDIAMYEON sinend sainyo sa mismong cvsu e learning website?,xiusuchen • blackvelvet ,revelexocult,0,0,2020-08-14 03:52:26
17,@MrMLCooper Currently learning Data Structures and Algorithms with C++. I recently came across curses and thought it was a nice way of visualizing algorithm solutions e.g 8 Queens problems or towers of Hanoi. It may not be GUI but it is really easy to start and exciting!,Mombasa-Nairobi,MwadimeCalvin,0,0,2020-08-14 03:51:37
18,"there are definitely highlights of the show that I'll give credit to, i.e. that kind lady that praised tae's voice and bts learning more about the history of hip hop (i learned alot as well) but there were definitely chunks of the show that was extremely exploitative as mentioned https://t.co/Hp5RW45mJ3",'98 • she/her,spoopiejoonie,0,0,2020-08-14 03:49:17
19,@MrsDiazRocks Congratulations on your 🚀!! I'm looking to make take-home #math and #literacy learning kits for my new #preschoolers. https://t.co/Jhe1nrE2Vd,"Chicago, Illinois",PreKMsLara,2,0,2020-08-14 03:47:55
20,"Effects of maternal mental retardation and poverty on intellectual, academic, &amp; behavioral status of school-age children. Feldman &amp; Walton-Allen  https://t.co/F6WPLK5TDl  #poverty #pobreza #health #salud #mentalhealth #edtech #education #EDreform #economy #politics #pedagogy https://t.co/ormfIn90gp",Sevilla,eraser,0,0,2020-08-14 03:45:03
21,This bitch said 25$ a hour per child for e learning tutoring bitch teachers ain’t getting that a hour with a full classroom go to hell,,Onna_lee__,0,1,2020-08-14 03:44:51
22,3 Ways to Make Your Learning Designs POP! https://t.co/nFdXlMTfAY #ELearning,"Blackwood, NJ",Atrixware,0,0,2020-08-14 03:36:01
23,Phenomenon-Based Teaching and Learning through the Pedagogical Lenses of Phenomenology: The Recent Curriculum Reform in Finland. Symeonidis &amp; Schwarz https://t.co/sF4Dv1bygl #Phenomenon #Finland #Finlandia #educación #EDreform #PhBL #education #EDtech #elearning #onlinelearning https://t.co/Au3CoBp5D0,Sevilla,eraser,1,3,2020-08-14 03:30:04
24,8 gadgets to help make distance learning easier for students and teachers https://t.co/6v91pVuU9a https://t.co/JLSCfdEtQx,"Cypress, TX",E_Sheninger,5,10,2020-08-14 03:30:02
25,"The heatwave is here! We talk to PG&amp;E about ways to save on your bill while more people are working/learning from home. @ABC30 

https://t.co/9aFHm8MQeR","Fresno, CA",VanessaABC30,1,3,2020-08-14 03:23:32
26,Parents forming groups for e-learning @brittany_WACH https://t.co/VDyTVpIAyp https://t.co/UWcqkZaGNx,"Columbia, SC",wachfox,0,0,2020-08-14 03:23:30
27,Don't get too comfy: Illinois school district says students can't wear pyjamas while e-learning https://t.co/lHgIdPhiQU,"Toronto, ON and Boston, MA",Donnaantoniadis,0,0,2020-08-14 03:18:44
28,"Northside students! Review the learning options in the pic to make sure you are choosing the option that is best for you. If you have chosen VIRTUAL, you must use the google link below to tell counselors what virtual electives you are wanting to take!

https://t.co/kBtx5Bp3JE https://t.co/763L6aZ0Vh","Fort Smith, Arkansas",GrizzliesNHS,0,1,2020-08-14 03:17:14
29,Unlock the Power &amp; Potential of a Mobile First Strategy. #Infographic https://t.co/uRrraPPjKr  #elearning #mlearning #mobile #mobileLearning #digitalLearning #digitaltransformation #pedagogy #strategy #pedagogie #pedagogía #LMS #MOOC #TIC #tech https://t.co/pgnbKJapWZ,Sevilla,eraser,3,1,2020-08-14 03:15:03
