,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"With many schools returning virtually this fall we wanted to share 8 tips to help students succeed in the virtual classroom. These tips are beneficial as well to students participating in JANWO virtual programming.
#school #onlineducation #tipsforsuccess

https://t.co/IsKEmkS3bD https://t.co/R1JmYPQHJ3","Maumee, OH",ja_nwo,0,0,2020-08-13 16:47:59
1,"Wonder what schools around the country are doing about opening this fall?

Here's a good resource:

https://t.co/lwSFT0XQkC

#schoolsafety #schoolsreopening #schooldistricts #hybridlearning #remotelearning #onlineducation",,ReadathonRead,1,1,2020-08-13 13:48:49
2,"Everyone with a teaching role is currently recording lectures for 2020-21. How do you keep students watching a home-made video? Here's my take including happy videos of me, animations, edited audio and a zombie #onlineducation #elearningdesign  https://t.co/PK0AE1g70u","London, UK",iGlinavos,0,0,2020-08-12 11:43:28
3,"Glad to welcome 92 new business information technology students to @laureauas during the next 2 weeks. 

30 will be studying fully online and 62 will be studying blended in campus and online. 

ps. contact me for co-operation possibilities!

#laureadigital #BBA #onlineducation",Finland,LassiFI,0,9,2020-08-12 10:22:28
4,Moving to #onlineducation makes good business sense for #universities when they DO NOT try and replicate classroom experiences via technology - Insights from @YakutGazi at Georgia Tech Professional Education https://t.co/4IE5jvstiw,UAE,SB4Edu,0,2,2020-08-12 05:00:46
5,"Announcing our *NEW* online course, developed in collaboration with Renée Gendron @VitaeDynamics. Take as a stand-alone course or as part of our fully online Social Entrepreneurship certificate program. Learn more @ https://t.co/oiD6UW6n4E. #onlineducation #socialentrepreneurship https://t.co/jBKvWlBU92","Ontario, Canada",_Rachel_Hill,0,0,2020-08-11 19:55:53
6,"Some useful tips for Teaching Online

#onlineducation #onlineclasses #learnfromhome #learningeveryday #learningathome #kidsathome #teaching #teachers #teachingandlearning #bestpractice #tips #tipsforsuccess #schools #education #yayskool

https://t.co/d2hJCXWIWj",Lucknow,yayskooloffice,1,2,2020-08-11 13:42:40
7,"Do you know why our elders always advice ""Think before you speak"", here is the reason 👇
.
.
.
.
.
.
#elderadvice #bestadvice #advice2020 #onlineducation #study #bestsuggestion #elderlytalk #goodminds #goodadvices #pyramidtip #knowledgetips #pyramidconsulting #thoughtfultuesday https://t.co/evSSSl8AZX","Noida, India",PyramidCiIndia,0,0,2020-08-11 08:52:54
8,"Glad to be on National television #doordarshan, talking about #onlineducation during and after #pandemic, future of #highereducation etc. 
#DDbangla #education https://t.co/ZgQfGA9XNP",,undreamD,0,2,2020-08-10 17:10:14
9,"@asqagovau has released their latest regulatory strategy. 

Focus areas include #onlineducation delivery in the VET sector and VET delivered to secondary school students. 

You can view the document here - https://t.co/2AWGez8bwO

 #VET #RTO #VOCED #ASQA #regulation #TAFE #RTO","Melbourne, Victoria",andrewshea2,0,1,2020-08-10 12:21:21
10,"˝The world of work is changing. We need more adult education, not less˝ (Alan Tuckett)
#education #onlineducation #onlinecourse #ioniordache #covid #adultlearning #adulteducation #selfstudy https://t.co/hfdhOfkgPk","Melbourne, Victoria",Security_Cons,0,0,2020-08-10 09:31:24
11,"Want to become a Data Scientist?
.
.
.
.
Tune in this Sunday sharp at 7pm to know how to become one without any prior knowledge!
.
.
.
.
#onlineducation #artificialIntelligence #smartCity #IoTForAll  #catapultDataLeaders 

To Know More Visit Us At:  https://t.co/6gJF9io97q https://t.co/IcGWT0QyrU",,FolkzData,0,0,2020-08-07 13:32:34
12,"Work in the CSP environment? Want to know more about the online CGI (ICSA) courses we have for the Foundation Programme, Level 4 IFA or Level 5 IFA? Then, check out the below :) #csp #fsp #tsp #isleofman #offshoreadmin #onlineducation #onlinecourses #icsa #cgi https://t.co/3SQHESQeNJ","Douglas, Isle of Man",IOMStudentSoc,0,0,2020-08-07 10:32:43
13,"Inviting all #algebrateachers to #join #tutorfirm &amp; to help #students $learn these #brainexcercises
#online #OnlineClasses
#teachertwitter
#algebra 
#onlineducation 
#onlinelearning #math
#blendedlearning https://t.co/xyEajI18LN",Worldwide ,tutorfirm,0,0,2020-08-07 04:32:53
14,"#studyfromhome on #ArtificialIntelligence and #MachineLearning from top professors from top institutes at best rates https://t.co/yVG1KhGe2R.
ping me for more information.

#ZillonLife #ZLF #ZLFToken #Onlineducation #DeepLearning #TRON https://t.co/wAVxHlTy3o","Bengaluru, India",Sriniwolfie,5,7,2020-08-06 18:10:43
15,"15 packs of high quality FRCR rapid reporting packs and lectures! Close to exam style! https://t.co/JINjXjKnC9
#frcr #radiology #radiologist #rapids #medicalimaging #medicaleducation #exampreparation #onlineducation https://t.co/pZqeVX01W8","Dubai, United Arab Emirates",Radiologytweet,1,0,2020-08-06 07:44:50
16,"#onlineducation #onlineclasses #onlinecoaching #onlinetuition #onlineclassroom is your high school student in need of any assistance online? Do you have a student who have an access to a desktop, laptop, iPhone,Android phone, iPad......You can reach me on 0721285919","Nairobi, Kenya",muchinahenry,0,0,2020-08-06 06:38:49
