,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"CERTIFY ONLINE TODAY!   Bridgeport, CT ServSafe® Manager Online Courses &amp; Certification Exam https://t.co/fRuqsEWiDb https://t.co/yypLRvnbKs","33.516578,-86.801595",chefdbpeters,0,0,2020-08-13 23:45:00
1,@WhitemanMuriels @doniveson Education isn’t a city responsibility it’s provincial. And the option to learn online or home school already exists.,"Edmonton, Alberta",BlahaJerry,0,0,2020-08-13 23:42:16
2,"#IntoAmerica: The pandemic forced a massive online learning experiment. Could it revolutionize the future of education? 

@trymainelee talks to @LDH_ed about opportunities to close learning gaps this school year. 

Listen now: https://t.co/pT0fDrlmbw https://t.co/HTldF9bVka","New York, NY",NBCNews,6,6,2020-08-13 23:40:10
3,"@iansouthampton @LfcBecky @gdb1704 @GavinWilliamson @BorisJohnson Exactly how are these young people going to be in any position to take their exams, they've been out of education for months now. And those not wealthy enough to access online ANYTHING are doubly disadvantaged. You're an idiot.",,bonito_jm,0,0,2020-08-13 23:40:07
4,Bachelor of Science in Hospitality Management https://t.co/JbpQeyATwd #online #classes #online #school #online #education,TheWeb!,BachDegreesCom,0,0,2020-08-13 23:38:49
5,"A revolution is going on in terms of the education that people can gain, particularly online, and not just in Australia, around the world https://t.co/UCx4dNzs0p","Sydney, Australia",patricii,0,0,2020-08-13 23:38:13
6,Big Education Ape: How online learning fails low-income students amid COVID-19 - Los Angeles Times - https://t.co/IAZDBumlPh https://t.co/C3Fx7k51Us,California,coopmike48,0,0,2020-08-13 23:35:53
7,"@rings_banners @WCSedu They’re getting an education online, and it’s working.  They are also not contributing to the spread of this disease, or putting themselves and their parents at risk.",,PaulFuji4,0,0,2020-08-13 23:33:57
8,"Online learning is being done better. Engaging interactive dialogue, and group activities in shorter module facilitate learning - for children AND adults too. #education #edtech https://t.co/vNu4J2GfVf","East Nantmeal, PA",jmesiarik,0,1,2020-08-13 23:33:50
9,"Our first #BridgingMichigan online conversation is underway! Thank you, @MonaHannaA &amp; @SHDetroit, for making it possible to bring this dialogue about history, equity, public health, &amp; education to all of us at home tonight! #mihumanitiesathome https://t.co/NyWhbZqoh2","Okemos, MI",mihumanities,0,0,2020-08-13 23:31:35
10,This curated list of special education resources and edtech products can help support learners with disabilities during #remotelearning: https://t.co/QaYPYkg1AF #LearningKeepsGoing,"Washington, DC/Silicon Valley",DigitalPromise,1,2,2020-08-13 23:29:01
11,"@Kevin_Faulconer @SDSU Um, I hate to state the obvious, but why should we think anybody will be attending classes or playing live sports there? Did you really say ""a place where education, athletics and recreation thrive side by side""? You mean online?",,ladoodles,0,0,2020-08-13 23:28:52
12,Report: Barren Co. board of education votes to start both in-person and online classes on Aug. 24. More to come. https://t.co/jh62TDOtSL,"Louisville, KY",GYMObrad,0,3,2020-08-13 23:28:24
13,Bruh why these dumb dumb bubble gum lookin ass teachers at my school make online education so complicated,"North Carolina, USA",SlurpyLynn,0,1,2020-08-13 23:26:51
14,"@DavidsonHiers @LeonSchools Ha ha... teachers push to go online... school board push to sign up for academy... and now that 40+% did it, no devices.

Again, this whole thing needs to be about the kids and their education. 

Send them to back to school IN PERSON!!!",,tgrafx,0,0,2020-08-13 23:26:38
15,Education often falls into a harmful cycle of implementing and abandoning before impact is realized. Why invest millions on online learning tools only to turn away from them when they’re needed the most? #BeCalmAndTeachOnline #COVID19 #BeSmart #StaySafe,"Salt Lake City, Utah",DrTomSorensen,0,0,2020-08-13 23:25:51
16,"2. 
The costs may stay the same, with teaching now online. 
For its not the content you pay for, but the paper at the end.

The jobs are finite, and the systems build on scarcity, getting more so every day.

And so our #education must be the same. It's always been the way.","London, England",kenakennedy,0,0,2020-08-13 23:25:06
17,how am i supposed to do my online course when i have five eps left of htgawm AS A WHOLE SERIES viola ur hindering my education take responsibility queen adopt me 🤕,latina/puertoriqueña | she/her,superteezenme,0,0,2020-08-13 23:23:14
18,@narendramodi @ibusolih Sir to fight Covid19 we need Masks Hygiene and Social Distance one and half with people  and their Discipline Hygiene in the country namely Garbage Disposal and Staggering Work &amp; Education culture thru Online and also 24 hour opening of Country to facilitate it is in your hands,calcutta,prsad63,0,0,2020-08-13 23:20:56
19,"@borders_iii @CAVisionary @GregIacurci I agree about raising the min wage, but no one can be evicted because Trump mandates that as well as rewarding people that are working with not having the payroll tax taken out. Lots of free education online now as well.","Texas, USA",Arletta0301,0,0,2020-08-13 23:20:19
