,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Are you parent w child studying English, French, Portuguese, Spanish? I’ve got downtime due to pandemic &amp; am eager to teach, tutor, be conversation partner for any age thru college. Eons of experience, native proficiency, Ivy League. #homeschooling #onlinelearning #remotelearning https://t.co/F7TfNvdX9Y",NYC (the pic is from space!),hometweethomeNY,0,0,2020-08-02 05:59:36
1,"𝐂𝐡𝐫𝐢𝐬𝐭𝐢𝐚𝐧 𝐑𝐞𝐥𝐢𝐠𝐢𝐨𝐮𝐬 𝐊𝐧𝐨𝐰𝐥𝐞𝐝𝐠𝐞 past questions 👇👇👇
https://t.co/kqmx5a8ZIA
@JAMBHQ @waecnigeria @Cristiano @TC_Africa @ighalojude @NigEducation @followlasg 
#Christianity #onlinelearning #Tutorials",nigeria,sbsanni,0,0,2020-08-02 05:59:26
2,"Interested in #Software testing &amp; want to master it? This blog https://t.co/yxxTzIMQMn gives you simple steps to write a good test case in Software #Testing.
Enroll Now 👉 https://t.co/NfIuQAEZOC
#SoftwareTesting #LearnFromHome #IT #Tech #onlinelearning #zlf #zlfcrytpto #zlftoken",Bangalore,JaskaranVirdi3,0,0,2020-08-02 05:59:17
3,"#Stage4 back to #onlinelearning.. better, as trying to provide both online and face to face was so stressful. Much better set up at home now.  Take care of your neck and shoulders #teachers and #students 🖥",Australia ,JessicaSaphia,0,0,2020-08-02 05:58:24
4,"Trying to find the best reasons to invest your time to learn #RPA? This Edureka blog https://t.co/fGp4pP0j16 is here to help you.
Enroll Now 👉 https://t.co/NfIuQAEZOC
#Automation #RoboticProcessAutomation #LearnFromHome #IT #Tech #onlinelearning #elearning #zlf #zlftoken",Bangalore,JaskaranVirdi3,0,0,2020-08-02 05:49:39
5,"@edurekaIN Data Extraction and Website Testing are some of the popular uses of #UiPath Web #Automation. Explore more https://t.co/fE6h3VIY6T about this amazing web extraction tool in this guide.
Enroll👉 https://t.co/NfIuQAEZOC

#RPA #Robotics #Data #Web #onlinelearning #zlftoken",Bangalore,JaskaranVirdi3,0,0,2020-08-02 05:47:46
6,"Ample knowledge of #SQL #skills is indispensable for most job roles nowadays. Learn SQL Basics with this handy tutorial https://t.co/Qa6pPj4wGY. Interested to learn further? Join Edureka’s SQL #certification course here:https://t.co/NfIuQAEZOC
#onlinelearning #elearning #zlftoken",Bangalore,JaskaranVirdi3,0,1,2020-08-02 05:46:01
7,"Wondering how to automate tasks using #RPA Tools with examples? Find out https://t.co/HQ9EycZkAI in this blog.
Enroll Now 👉 https://t.co/NfIuQAEZOC
#UiPath #DigitalLearning #Robotics #Data #Tech #onlinelearning #elearning #zlf #zlfcrytpto #zlftoken #LearnFromHome #COVIDー19",Bangalore,JaskaranVirdi3,0,1,2020-08-02 05:44:20
8,"Are you parent w student studying English, French, Portuguese, Spanish? I’ve got downtime due to pandemic &amp; am happy to teach, tutor, be conversation partner for any age thru college. Deep experience, native proficiency, Ivy League. #homeschooling #onlinelearning #remotelearning",Born in FL Live in NYC Love SW,mindoca,0,0,2020-08-02 05:44:12
9,"Are you parent w student studying English, French, Portuguese, Spanish? I’ve got downtime due to pandemic &amp; am happy to teach, tutor, be conversation partner for any age thru college. Deep experience, native proficiency, Ivy League. #homeschooling #onlinelearning #remotelearning",NYC (the pic is from space!),hometweethomeNY,0,1,2020-08-02 05:41:22
10,"Chinese 五
Pinyin    wǔ
English  five

🙆‍♀️🙆‍♂️👩‍🎓👨‍🎓🙋‍♂️🙋‍♀️👩‍💼👨‍🚒😎🤩☺️😮

#onlinelearning #chineseclassonline #onlineclasses #homeschool #onlineteacher #chinesevocabulary #chinesegrammar #mandarinchinese #learninglanguages #languagelearning #hsk1 #innovativevirtualchinese https://t.co/xdAph6S3DA",,ChineseVirtual,0,0,2020-08-02 05:40:24
11,LIVE NOW: Conversion of units | Year 11 General Maths Units 1 and 2 #maffsguru #education #students #year11 #generalmaths #school #mathematics #teaching #classroom #teachers #iteachmath #maths #onlinelearning #year11maths #learnonline #vce #vcegeneral https://t.co/8CGTOERuxk,"Melbourne, Australia",maffsguru,1,1,2020-08-02 05:40:13
12,"Join us on August 20, 2020, for our #webinar by Professor Dr. Jayati Roy (Ph.D.), Professor at HELP University (Kuala Lumpur), and learn how online learning is affecting students today. Register Now: https://t.co/QA7pPxY78x

#onlinelearning #cybersecurity #motivation #training https://t.co/XABSMLgLht",United States,ec_univ,1,1,2020-08-02 05:30:08
13,Follow me on @Skillshare. Try Premium free for 2 months and access all my classes! https://t.co/0JfJZ1Vxot  #skillshare #freebies #FreeEducation #freeforall #onlinelearning,,equitonee,0,0,2020-08-02 05:26:18
14,"I'm editing video lectures hopefully for release within the next few days. I never realize how frequent my ""ahs"" and ""umms"" have become since taking a hiatus from public speaking meetups. I miss going. #toastmasters Thank goodness for editing software! #onlinelearning",Philippines,jimlopez875,0,1,2020-08-02 05:23:09
15,"The pandemic is raising concerns about how teens use technology. But there’s still a lot we don’t know. 

READ MORE: https://t.co/LnRfYWYGAz

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/sDkeP2vVwu",Worldwide,IAM__Network,0,0,2020-08-02 04:49:43
16,Not sure how to survive isolation? here are some tips.  #elearning #onlinelearning #covid19 #isolation  https://t.co/EQRQPu5YJR https://t.co/YKdrOHCfKr,,elearningoodies,0,0,2020-08-02 04:43:00
17,"LINK IN BIO......

#udemy #udemycourse #udemyfree #udemycoupon #html #css #javascript #udemycourses #udemycoupons #python #udemydiscount #udemyfreecoupons #udemydeals #onlinecourses #programming #onlinelearning… https://t.co/0fo1BL32q3",India,mohitnihalani7,11,7,2020-08-02 04:37:12
18,Applied Digital Skills-10 Lessons to Unleash Students Creativity Through Digital Games https://t.co/Q0KB6wEjQp #InstructionalTechnology #OnlineLearning #HigherEducation,,BarbPittOnline,0,0,2020-08-02 04:36:01
19,"STI: Staying Education-ready in the New Normal | Inquirer Technology 

READ MORE: https://t.co/sF61JYGBTb

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School+ https://t.co/XbjNxpTjbe",Worldwide,IAM__Network,0,0,2020-08-02 04:32:36
20,"It is now possible with SLATO, the app comes with attractive features &amp; facilitates learning difficult subjects like MATHS in Bengali Language

App Download link: https://t.co/YF2dJGKyBQ
Visit Us at: https://t.co/0ei20bDLMC

#slatoapp #onlinelearning #krishworks #class9 #class10 https://t.co/K6Nc106iXN","Kolkata, India",tweetkrishworks,0,0,2020-08-02 04:30:00
21,"It is now possible with SLATO, the app comes with attractive features &amp; facilitates learning difficult subjects like MATHS in Bengali Language

App Download link: https://t.co/TkSbJStU8P
Visit Us at: https://t.co/QMo9pW0rGo

#slatoapp #onlinelearning #krishworks #class9 #class10 https://t.co/T54vSkDW6K",Kolkata,slatoapp,0,0,2020-08-02 04:30:00
22,8 days // #onlinelearning 💻,☁️,kate_hkg,0,2,2020-08-02 04:02:10
23,"Feeling Hungry for something different??#TEACHers #teacher5oclockclub #teachersafetyisessential #edtech #teacher #teachfromhome 
@EdWeekTeacher #teacherlife #teachertwitter #teacherlivesmatter #teacher  #socialdistanceclassroom
#Teachers #education #onlinelearning #BackToSchool https://t.co/HwPZCn2uSx",,FaustusSaxon,0,0,2020-08-02 03:52:38
24,"#ParentingHumor #OnlineLearning

How to turn-off an already reluctant child completely from online learning classes... 

https://t.co/KBgEvdQIUz

... because if you can’t beat em, laughter is the best medicine!","Mumbai, India",practical_mum,0,0,2020-08-02 03:47:22
25,Thank you @empowered_twts @jimtuscano for an enlightening session on digital citizenship. So relevant as we start ODL. Remember RRTO. 👍😊💯#onlinelearning #digitalcitizenship #Respect #edtech,,kyuzomiyabe,1,0,2020-08-02 03:43:39
26,Spent some time today practicing using @usekamiapp in preparation for another round of #onlinelearning.  Gonna make things easier for both teachers and students.,"Santa Clarita, CA",equilibriumrox,0,1,2020-08-02 03:30:52
27,"#virtualclassroom are awesome, but what about resource rooms?! Check out why I love to use them. https://t.co/OGbteWrRS3
#teachertwitter #virtuallearning #onlinelearning #teachertip #techtips #techtip","Nevada, IA",BortonScience,0,0,2020-08-02 03:13:22
28,"The one thing that stays with you in your thick and thin, high and low, success and failure is knowledge. Make learning your best friend. Happy friendship day!
#HappyFriendshipDay #FriendshipDay2020 #FriendsForever #mAcademy #LearnItYourWay #learningapp  #onlinelearning #india https://t.co/A9iJiuwyHZ","Hyderabad, India",mAcademyOffl,0,1,2020-08-02 03:01:13
29,"Edtech startup NeoStencil, which live streams classes to help students prepping for competitive exams, has doubled the number of its partnerships amid the coronavirus lockdown.

@NeoStencil #Edtech #onlinelearning 

https://t.co/VD4VQ0hYHP",India,YourStoryCo,1,6,2020-08-02 03:00:00
30,"Get the Devops Certification sitting at your home from the best Institutes.  Click on the link and register for free: https://t.co/pzrCdY9myt
#Devops #Certification #Professional #onlinelearning #knowledge https://t.co/CLdNlVw0Yy",Pune,NAdetwar,2,3,2020-08-02 02:55:15
31,"Learn Arabic &amp; Middle East Culture Online https://t.co/2WBqjNgwxj via @YouTube 
#globaleducation  #virtualeducation #studyonline #onlinelearning #video  #online #onlineshop #onlineshopping #arabic #arab #language #education #humanrights #diversity #world  #future #zoom #live",,IgcedE,1,0,2020-08-02 02:52:20
32,"The JH Educational Technology (HKG:1935) Share Price Is Up 56% And Shareholders Are Holding On 

READ MORE: https://t.co/iFUlRWMO9e

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School* https://t.co/Ig9gFGo24e",Worldwide,IAM__Network,0,0,2020-08-02 02:34:53
33,"Sweet! 

One less thing to do this month 😉 

#SafeSeptember 
#onlinelearning https://t.co/0K5Hwrtja7",Kingston,BexFry,0,0,2020-08-02 02:31:12
34,What has your school focused on? #iteachonline #highered #bethebest #onlinelearning #k12 #COVID19 #,Online,iteachonlineorg,0,0,2020-08-02 02:12:28
