,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Today's Radio Show

https://t.co/5bZM3oycla

#radioshow #internetradio #podcast #onlineradio #program #students #parents #teachers #kids #children #depression #anxiety #disabilities #listeners #audience #homeschooling #education #school #onlinelearning #topics #discussion #adults https://t.co/O6eImtMSe4","Defiance, Ohio",newheightseduc1,0,0,2020-08-13 19:15:14
1,"Raffle Drawing

https://t.co/JsCPEXdDa3

#raffledrawing #prizes #students #parents #teachers #kids #children #tickets #onlinelearning #education #havingfun #makeadifference #support #fundraiser #raffle #aroundtheworld #classroom #checkitout #svhs #siliconvallleyhighschool #adults https://t.co/xFmk88rL8N","Defiance, Ohio",newheightseduc1,0,0,2020-08-13 19:13:48
2,"@CindyWarber @sharemylesson It was wonderful to meet you today @CindyWarber, #thankyou for #collaborating and #sharing your #ideas with me. Wishing you all the very best for #backtoschool! 🙏🌍☺️ #ShareMyLesson #Hybrid #OnlineLearning #BackToSchool #EdTech #epic #thenewnorm #BetterTogether","Amman, Jordan",TechyLeaderEDU,0,0,2020-08-13 19:12:42
3,"#BeaconhouseSchoolingUninterrupted
#OnlineLearning
Independence day was celebrated with full zeal and enthusiasm in the Morning Assembly today ~ Long live Pakistan! 💚🇵🇰 https://t.co/qe3MQqebYp","169/F, Block 3 PECHS, Karachi",school_ii,0,0,2020-08-13 19:12:05
4,#Teachers: Are you ready for #BackToSchool? Back to School Essential 5 Pack Bundle for #GoogleClassroom + #DistanceLearning https://t.co/5lfUEptJmU #teacherspayteachers #edchat #edtech #teachwithtech #education #teachersonline #elementaryeducation #onlinelearning #school,USA,MrEduTechnology,0,0,2020-08-13 19:10:51
5,"Online learning only succeeds when you have reliable, equitable access to it. School IT directors need to plan for internet outages, because they WILL happen. Case in point: 
https://t.co/y8sQDhMyOW #distancelearning #onlinelearning #internetoutage","Plymouth, MN 55441",Ecessa,0,0,2020-08-13 19:08:44
6,"#BeaconhouseSchoolingUninterrupted
#OnlineLearning
#IndependenceDayCelebrations
Students of grade III learned about major events that occurred in history of Pakistan and created a timeline using Lucid Chart. Later, they gave their feedback on Linoit. https://t.co/bNS2DJ8aS8","169/F, Block 3 PECHS, Karachi",school_ii,0,0,2020-08-13 19:06:12
7,"As we've largely moved online, we have definitely learned the importance of customizing programs for an online experience: https://t.co/hUGJHAybnx @EducateOrg @BrookingsInst #onlinelearning",Global,YouEmployed,0,0,2020-08-13 19:05:03
8,"ICYMI: I chopped it up w/ @RobinRoberts on @GMA Tuesday about #backtoschool tech resources for those in need, check it out &amp; share the info!   #technology #students #internet #digitaldivide #onlinelearning #remotelearning #homeschool https://t.co/7NvOUfOmUh",United States,TechLifeSteph,2,1,2020-08-13 19:05:02
9,Did you know we offer free shipping? It's true! FREE SHIPPING on all orders! Order your fall books now at https://t.co/EVet51IYbF #freeshipping #studentsfirst #csncollege #csncoyotes #csn #studentsupport #onlinelearning #remoteeducation #onlineeducation #shareyourcsnstory https://t.co/HlvBCwfPji,6250 W Charleston Blvd #150,RentTextVegas,0,0,2020-08-13 19:03:54
10,"How can smartphones, tablets, and building automation systems elevate the bathroom styling space experience and conserve energy? Take this free @Robern course to find out: https://t.co/ThqYp1EHkb #bathroom #storage #design #architecture #designcommunity #ceu #onlinelearning https://t.co/2FJGhgzpBX",,AECdaily,0,0,2020-08-13 19:03:40
11,"#BeaconhouseSchoolingUninterrupted
#OnlineLearning
#IndependenceDayCelebrations
Students of Class III B celebrating Independence Day with zeal and fervour https://t.co/TN1i1Zqn8D","169/F, Block 3 PECHS, Karachi",school_ii,0,0,2020-08-13 19:03:01
12,"IT's your #tbt - looking at this now seems like a wonderful memory when we were all together in class. We are incredibly proud of our participants who have been agile by moving online for their learning. We do IT everyday!
#IT #tech #thursdayvibes #class #together #onlinelearning https://t.co/QEnlsa9OmP","Toronto, ON & Calgary, AB",NPowerCanada,0,0,2020-08-13 19:02:22
13,"Visit the blog for encouragement and advice for coping with crisis - thriving in spite of it all: https://t.co/prYefo3iM1
#homeschool #homeschooling #softskills #onlineclasses #onlinelearning #truenorthhomeschool",Global,TrueNorthHA,0,0,2020-08-13 19:00:36
14,Online learning isn’t just a matter of translating established techniques onto new platforms without altering delivery - @Jisc looks at modifying pedagogies &amp; delivery to create positive learner engagement. #highered #onlinelearning https://t.co/G3TM883jvf,Preston,Pure_AV,0,0,2020-08-13 18:57:59
15,"Working with #technology and #students both in-person and #onlinelearning

Join us next week to get some strategies and ideas on #teaching #math with #edtech - the focus is on #mathematics - technology is just a tool!

Register here: https://t.co/sn1LXSI9x8 https://t.co/y3wVLXHkJ2","Dover, NJ",classpadnet,1,0,2020-08-13 18:57:36
16,"Fantastic presentation today by @Tatianapopab on How to Implement an Online Educational Project. Thanks for the 🐋❤️&amp; sharing Belouga with educators in Moldova &amp; Romania!🇲🇩🇷🇴

#education #onlinelearning #k12 #BackToSchool #globaled #SDGs https://t.co/ExUGTSuTep",Planet Earth,Belouga_,2,4,2020-08-13 18:53:21
17,These 4 Phrases Will Make Life Easier for Teachers and Parents This Fall #virtuallearning #education #teaching #onlinelearning  https://t.co/phRvRIi3tJ,New England,laurahmilligan,0,0,2020-08-13 18:50:52
18,"Gain a valuable, targeted range of #esports skills that you can apply to a career in this exciting $1B+ industry with our new Esports Management Certificate. #Onlinelearning starts this fall. #gaming https://t.co/1zm7in1J9s https://t.co/G76DXq9aNY","Calgary, Alberta, Canada",MRUContEd,0,0,2020-08-13 18:50:19
19,A global outlook to the interruption of education due to COVID-19 Pandemic: Navigating in a time of uncertainty &amp; crisis. https://t.co/Ca6zrummVX #COVID19 #COVID_19 #education #educación #elearning #interrupción #distanceEducation #onlineLearning #coronavirus #pandemic #pandemia https://t.co/B8kqKAqBmN,Sevilla,eraser,0,0,2020-08-13 18:50:03
20,"Great summary on findings around the increase seen in online credentialing, ""suggesting the pandemic and subsequent economic downturn may have a lasting counter-cyclical impact on online enrollment."" #onlinelearning

Check it out here: https://t.co/gJXAXOj0ki","Stamford, CT",ODLearn,0,1,2020-08-13 18:48:51
21,"#BeaconhouseSchoolingUninterrupted
#OnlineLearning
#IndependenceDayCelebrations
Grade III students had an interesting lesson on major events in Pakistan history. They created Pakistan's Timeline using Smart draw and gave their feedback on Linoit. https://t.co/F4lJUgIKe1","169/F, Block 3 PECHS, Karachi",school_ii,0,0,2020-08-13 18:47:43
22,"Will Covid Be The Opportunity We Need To Reimagine Learning? 

READ MORE: https://t.co/BmZKkhg6Kh

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School+ https://t.co/UGhbRSSknV",Worldwide,IAM__Network,0,0,2020-08-13 18:47:21
23,The practical use of simulations in training https://t.co/rDaK2Ls7yd #onlinelearning #employeetraining #edtech #adultlearners https://t.co/5FDvsQfNoV,San Francisco,matrixlms,0,0,2020-08-13 18:47:09
24,"Big shout out to Maurito López! 
Day 1 of his Sophomore year at Warren HS. You’ve got this dude! Go Bears! 🐻 

#newnorm #onlinelearning #pontelisto #teamlopez #mauro @ Casa Lopez https://t.co/JNyCwUh2iD","Downey, CA",OlgaMLopez1,0,1,2020-08-13 18:45:28
25,"Do you have ""that one student"" that takes forever to schedule a lesson?

 Here are a couple tips to help save you time and headache without abandoning your student! 

https://t.co/BWVbVym3N8

#tutorid #onlinelearning #edtech #startup #education #business #advice","New York, USA",tutor_id,1,1,2020-08-13 18:44:00
26,"Class 6 NCERT science chapter 9 : the living organisms and their surroundings (part-1)
https://t.co/BtHNkyeiCk
#OnlineClasses #ExamResults #Habitat #IAmAgainst_ExamsInCovid #ncert #science #onlinelearning #adaptation #cbse #keepLearning #child #animals #onlineteaching #Biology",,ncert_all,1,1,2020-08-13 18:42:15
27,"#BSU
#OnlineLearning
#IndependenceDayCelebrations
Class IV celebrated Independence Day in their SST lesson by making Travel  brochures.They imagined themselves  as tourist guides &amp; made brochures using online tool Postermywall &amp; on A4 sheets highlighting famous cities of Pakistan https://t.co/dBDi3uF8A8","169/F, Block 3 PECHS, Karachi",school_ii,0,0,2020-08-13 18:42:10
28,"TheDavidsonAcad: Reminder: Director of Davidson Academy's online campus, StacyHaw, will participate in a Youth Emergency Preparedness Council (YEPC) panel discussion on distance learning today at 4pm PT. View it live here: https://t.co/HtdX1EcqTt #gifteded #onlinelearning #gift…","Portland, OR",StacyHaw,0,0,2020-08-13 18:40:09
29,"""Having the technology necessary to access online learning opportunities isn’t enough. Different home environments also impact the remote educational experience.""

@EdSurge @tonywan #RemoteLearning #OnlineLearning https://t.co/er1mVKbiNY",,iste,2,14,2020-08-13 18:39:01
30,"What is Andragogy?

Malcolm Knowles introduced &amp; defined Andragogy as the art &amp; science of adult learning. Let's say any form of adult learning is Andragogy.

#MalcolmKnowles #Andragogy #adultlearning #adultlearning #learning #onlinelearning #onlinelearning2020 #HEConsulting",Kampala-Uganda,robertmwesige44,2,2,2020-08-13 18:38:03
31,"#BeaconhouseSchoolingUninterrupted
#OnlineLearning
#IndependenceDayCelebrations
Class III Urdu lesson on the importance of Pakistan Independence Day. https://t.co/j1cAfpHruw","169/F, Block 3 PECHS, Karachi",school_ii,0,0,2020-08-13 18:36:21
32,"#BeaconhouseSchoolingUninterrupted
#OnlineLearning
#IndependenceDayCelebrations
Students of Class II-A celebrated Independence Day by enthusiastically participating in different activities throughout the day. https://t.co/RKoqIv6kpM","169/F, Block 3 PECHS, Karachi",school_ii,0,0,2020-08-13 18:34:53
33,"Every school/college right now.
#college #school #onlinelearning #OnlineClasses https://t.co/OM2kVYqglg",TWITTER,iffataliyaa,0,0,2020-08-13 18:31:50
34,"Join @edXOnline for their FREE #webinar in which they will help you explore ways to #upskill and #reskill valuable employees, discover the impact of #onlinelearning and much more!

Save your virtual seat here: https://t.co/FKG6k0LCBk https://t.co/sPGdV90k5V","New York, NY",Exchange_HR,0,0,2020-08-13 18:30:58
35,There's so much anxiety going around about #onlinelearning right now. What are the positives? #distancelearning #elearning #digcit #edtech #games4ed #backtoschool2020 https://t.co/dfE39aJMgA,Planet Braxos,QuandaryGame,0,0,2020-08-13 18:30:31
36,"Fats are not always unhealthy. Good fats are necessary for building cell membranes for organs like brain, eyes and lungs. Unsaturated fats, mono-saturated fats, poly- unsaturated fats, omega 3 and 6 come in various combinations in various foods. #onlinelearning #fitnesshealth","Detroit, MI",jeremie_loyalty,0,0,2020-08-13 18:30:29
37,"Learn how to sign ""CELEBRATE / CELEBRATION"" in ASL! This sign can also be used for the word ""ANNIVERSARY"". 

Become a Sign Tribe Member: https://t.co/BtKRAzA0PU

YOUTUBE: https://t.co/5lSsF9pjYv

#asl #celebration #onlinelearning https://t.co/6uW2CqRB69","Tennessee, USA",drluannesailors,0,0,2020-08-13 18:30:27
38,"Introduction to Interpretation
* 11/03 to 12/07 with Judy Jenner (@language_news)
» https://t.co/5ybkgDCNQU

#xl8 #t9n #1nt #translation #interpretation
#ContinuingEducation #ContinuingED 
#OnlineLearning #OnlineEducation #DistanceLearning https://t.co/LCIe3XLWnA",La Jolla CA,UCSDExtensionTI,1,0,2020-08-13 18:30:07
39,I've been working with a lot of educators to engage learning online beyond Zoom rooms because the evidence is mounting - teach and learn from home #onlinelearning  https://t.co/RytO43Qyx8,"Florissant, CO",thoefling,0,1,2020-08-13 18:26:56
40,"Not my tradition back to school pic! But HAPPY 1st day #backtoschool all my peers, staff and teachers at @BollesSchool! Lets make the best of this and have a safe and healthy school year #BackToBolles2020 #BollesTogether #BeHealthy #BeWell #BeBolles #onlinelearning https://t.co/B9j0PGxohJ",Jacksonville ,astrostarbright,2,12,2020-08-13 18:26:41
41,"Special packages announced for AHP from Erudite Pace.
It could be best for all of you.
Learning should never stop......
#onlinelearning 
#eruditepace https://t.co/PdVjN8XxbI",,EruditePace,0,0,2020-08-13 18:24:49
42,"NJ Issues Rules For In-Person Education In Schools Amid COVID-19 

READ MORE: https://t.co/oNAls16U63

#ContinuingEducation #DigitalLearning #Education #EduTech #HigherEducation #Learning #LifelongLearning #Media #OnlineLearning #School https://t.co/ftbZ4v2bxZ",Worldwide,IAM__Network,0,0,2020-08-13 18:24:01
