,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Our specially trained online educators here at Connections Academy are excited and ready to get back to school! 💻 📚 👩‍🏫 

#OnlineSchool #CATeachers #WeAreReady https://t.co/qgkw52a5o8",,ConnectionsAcad,0,1,2020-08-13 18:00:00
1,"Looking for answers for our Home program? Join Mr. Steve Borley’s Seminar today and tomorrow at noon. Email info@schoolathome.ca for the link!
.
.
#homeschool #onlineschool #community #onlinecommunity #gradeskto9… https://t.co/67ECwgy97K","Surrey, British Columbia",TLAOnline,0,1,2020-08-13 17:49:04
2,"Sometimes, you want something, but it doesn't turn out the way that you hoped. Like a #badtattoo But you can build #resilience and other #softskills #powerskills to overcome whatever crap life throws your way. #collegeinterrupted #steerus #motivationmonday #school #onlineschool https://t.co/f4zUuEgJA9",New Jersey,steerus_io,0,0,2020-08-13 17:02:42
3,Now offering Pandemic Pods starting this Fall! Buddy-up with other families for small-group learning in accordance with #COVID19 regulations. Click here to learn more: https://t.co/HPIdjmjX0d #pandemicpods #schoolpods #remotelearning #virtuallearning #onlineschool #tutor https://t.co/btDEzSWXX4,"Seattle, WA",HamptonTutors,1,1,2020-08-13 16:53:01
4,Teachers need to introduce apps/websites/platforms slowly. #BackToSchool #edchat #virtuallearning #onlineschool #distancelearning https://t.co/Gkt3XzlCai,"Washington, D.C.",mrvarhall,0,1,2020-08-13 16:33:59
5,Teachers need to create routines to connect with kids in shared joy &amp; laughter virtually. Daily ideas in thread. #BackToSchool #edchat #virtuallearning #onlineschool #distancelearning https://t.co/H7iWiC6R7I,"Washington, D.C.",mrvarhall,0,2,2020-08-13 16:28:08
6,Teachers need to grade work and send feedback at least once a week. #BackToSchool #edchat #virtuallearning #onlineschool #distancelearning https://t.co/hw29IRX9J1,"Washington, D.C.",mrvarhall,0,0,2020-08-13 16:25:15
7,"Connections Academy parent Janet H. shares her family's experience with virtual school. 

Retweet if you appreciate having the flexibility to work at their own pace? 🙋‍♂️ 🙋‍♀️ 

#OnlineSchool #ConnectionsAcademy https://t.co/3zDeAkg3r8",,ConnectionsAcad,4,2,2020-08-13 16:00:12
8,First day of virtual teaching! I’m excited to meet all my new students and learn and grow together this year! 🤗💕📚✏️ #virtuallearning #onlineschool #middleschool #1LISD #teaching #passion https://t.co/E9zUwVUIZw,"Cedar Park, TX",mrsdoyle95,1,3,2020-08-13 15:36:28
9,"Learn about the three keys to helping your student find (online) academic success in a new free webinar series with Dr. Jed Applerouth. Sign up for the whole series or just those that interest you. 

Find the link here: https://t.co/pdCtvaCNhu

#onlineschool #collegeboundandready https://t.co/095XsT3pag","Portland, Oregon",collegeboundpdx,0,0,2020-08-13 15:09:02
10,"Distance Learning Chemistry. 

Follow for more cartoons!
Retweet and tag your teacher friends. 
#TeacherFriends #teachers #distancelearning2020 #edutwitter #SchoolReopening #BackToSchool2020 #Chemistry #remotelearning #onlineschool #comics #webcomic #webcomics #Students https://t.co/N11jaSwk1O",San Francisco,garthtoons,2,4,2020-08-13 14:15:22
11,"#InternationalLeftHandersDay
Tag a left-handed person you know.

Visit https://t.co/NX7XWdVodI or call us at (888) 567-1844.

#lefthanders #onlineeducation #onlinelearning #onlineschool #ThursdayMotivation #ThankfulThursday #GoodThursday #ThursdayThoughts #thursdayvibes #enroll https://t.co/Pywo5kTre3","Tempe, AZ",pinnaclevhs,0,0,2020-08-13 13:21:30
12,This girl is ready for school! Counting down the days!!! #k12 #onlineschool https://t.co/2oCEtSuncr,,haleyjsilvers,0,2,2020-08-13 12:22:07
