,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"A source at Chaffey College alerted me today that Spring Semester will be entirely online. The understanding is that this will likely be the case for a majority, if not all of California’s colleges.",Inland Empire,RyGibSports,0,0,2020-08-04 22:44:45
1,"Parents and students can ask questions about Wright State's fall semester plans during our online chats on Aug. 6, 12 and 18 https://t.co/1S88bOaM4p","Dayton, OH",WrightStateNews,0,0,2020-08-04 22:44:00
2,"No one will hear this and all decisions have been made but the only smart solution for fall semester is to bring everyone back as scheduled, mandatory quarantine/deliver meals/online class for 14 days, test as symptoms occur, and isolate positives. Then switch to in person (1/?)",rva//hburg,spencer__law,0,0,2020-08-04 22:42:15
3,Career &amp; College Promise pathways at @NCCommColleges are a great way for high school students to get ahead. @ForsythTechCC has extensive online options. Check us out! There is still time to register and enroll. Fall semester begins August 17. #APlaceOfPromise https://t.co/Z1mhFJ2W0R,,ForsythTechPrez,0,0,2020-08-04 22:40:17
4,i’m glad my school smart enough to just make school online for the semester,,brookexchristin,0,0,2020-08-04 22:40:14
5,I can’t do another semester online 😒,,Funazydaisy,0,0,2020-08-04 22:39:35
6,If only I was taking in person classes this semester instead of online 😭 https://t.co/ojn0vmeNkT,,xSumoh,1,4,2020-08-04 22:39:33
7,@uziclitt nah i’m doing online all first semester, ,ciqln,0,1,2020-08-04 22:39:10
8,"The College of Idaho will begin the Fall semester with primarily online classes in a distance-learning format. Resources and information available by clicking the link.

 #YoteFam #StudentLife #CampusLife #Community

https://t.co/P3AB7qSlMs","Caldwell, Idaho",collegeofidaho,1,1,2020-08-04 22:38:28
9,12 days till my semester starts😱 How prepared are YOU FEELING to teach this semester ONLINE?,Northern CA,DCoad,0,0,2020-08-04 22:37:02
10,I hope everyone has the hot girl semester they will get even classes are online.,la ,ivxnsson,0,0,2020-08-04 22:34:44
11,"@robby_weidemann i don’t recommend actually replying with this,, but if you’re feeling especially petty - “thanks! congrats to you too for not lowering tuition or at least keeping it the same for next semester when students inevitably go all online again! 🤗”",,MadiSpence_,1,0,2020-08-04 22:34:38
12,@ShaniaEff I’m taking anatomy nxt semester &amp; I was told in person but now all the labs say they’ve been “modified for online learning” 🧐,"Miami, FL",julianaa222,0,0,2020-08-04 22:33:28
13,@MissCle216 Is it online learning for the first semester?,,rickhall323,0,0,2020-08-04 22:33:20
14,Got the official news that my oldest's college will be online-only for at least the first semester. Also saw that our local school district is having an emergency board meeting to extend online-only learning until November. We... are gonna need a lot more desks in this house.,"Austin, TX",karianneholt,0,5,2020-08-04 22:32:29
15,Yeah I need these since the semester online https://t.co/ZU688ktGjs,"Charlotte, NC",temaaa____,0,1,2020-08-04 22:32:11
16,If I have to do another semester of online classes I’ll fking end it all https://t.co/EOoH8ZRI7z,Home,mmariaolivares,0,3,2020-08-04 22:32:00
17,well good thing im online this semester i guess https://t.co/FSQol1h0MZ,19 she/her | ミ☆,ultrosey,0,0,2020-08-04 22:31:19
18,"I’m doing this when I get home, I want this to be good vibes only, I want to make online school more bearable, dm me if you want in, highschool college it don’t matter, let’s get through this first semester 💯 https://t.co/DAhloZj4dG",United States,KD_Isos,0,6,2020-08-04 22:30:45
19,guys wish me luck i have online school starting in two weeks and out of my four classes this semester 3 of them are APs and one is a Post-AP...,they/sae ; gene ,seungphobias,0,7,2020-08-04 22:30:42
20,"@nevergoes0ut Yeah I'm basically an audio engineering major so I'm not taking any of the engineering classes rn, mostly just general requirements I need to graduate and some music theory but nothing really major specific. Tbh if I couldn't do it all online I was gonna take a semester off 😅",CT // she/her,chantel_malin,0,0,2020-08-04 22:30:17
21,if you think bu shouldn’t offer any in person classes you better also believe that students should be able to take a gap year with no penalties because I can tell you that if I have to do this semester online it will be a disaster academically,BU ENG/SAR,jimmymmaher,0,3,2020-08-04 22:30:15
22,"@UNLVFreePress UNLV says that about 75% of their coursed this fall are web-based or remote, while 25% are in-person. Courses will not switch between remote and in-person, if it is online, it will be online for the whole semester.  #UNLV #UNLVRebels #UNLVTownHall #UNLVStudentTownHall","Las Vegas, NV",AlexWright1028,1,0,2020-08-04 22:30:07
23,"@ITSRIIZZ Texas, Houston area. It’s district by district. Ours is opening virtual for at least four weeks K-12. Daughter at U of H is doing all online this semester","Texas, USA",saintjabber,0,0,2020-08-04 22:29:35
24,"Oh and hello, I'm currently enrolled in an online class for a whole semester amidst the COVID19 Pandemic.

Let's what'll happen this year. 

Here's to hoping that there will be another thread after this one stating my last year in college under the same course!",Philippines,annatheclown,0,0,2020-08-04 22:28:58
25,"with classes being all online this semester, i need girl friends more then ever to keep me from going crazy stuck at home","Ohio, USA",SiglerRebekkah,0,1,2020-08-04 22:27:15
26,@_just2much_ @exavierpope If it's proven safe they can go back. My children will not be the test subjects. They are online for the fall semester and we will reevaluate after that.,,SelimaTate,0,0,2020-08-04 22:27:13
27,McMaster University fall semester to be fully online amid COVID-19 pandemic | CBC News https://t.co/yHuc7sBHNE,,Crowpuppy,0,0,2020-08-04 22:27:00
28,@lovablehoseok my classes are online for the fall semester but i still gotta fix my sleep schedule by the 24th 😂,hidden cloud village | she/her,kennahdeee,0,1,2020-08-04 22:26:35
29,"@suckmycherribeb i jus think that if we have been doing online school the last few months they could just do it for the first semester cause yk,, there’s a second wave","she/her,",juluvr,0,0,2020-08-04 22:25:49
30,Why aren’t more people mad about colleges making us pay full price for a semester of online classes???,20 MA,swibeez,1,7,2020-08-04 22:24:40
31,"Last Friday, St. John’s made the difficult decision to move the Fall 2020 semester online. Each campus will hold a virtual town hall for students and families; we have also addressed questions in detail in our new FAQ. More info: https://t.co/GoK4ApA3d3.","Annapolis, MD and Santa Fe, NM",stjohnscollege,0,8,2020-08-04 22:23:37
32,Why are we being charged 5lac a semester if we have to take online classes at LUMS? Why has lums not decided to open campus when other unis have? Where is the accountability? Where is HEC? Where is the education ministry? #smartlyreopenLUMS @HECPakistan @Shafqat_Mahmood,"لاہور, پاکستان",shazra_irfan,0,0,2020-08-04 22:23:13
33,@a_taiyib I’m just now starting my bachelors in psychology. I’m doing an online degree while I work full time in Korea. I just pulled out of a program because they’re only offering 1 class for Fall semester. Yesterday the internet told me my masters could take 5-7 years,Republic of Korea,smeezewitme,0,0,2020-08-04 22:23:12
34,@presjimryan commit to going 100% online for this semester. Stringing students along and keeping the Charlottesville community worried about an entirely preventable massive outbreak is neither Great nor Good. Massively disappointed by this response.,arlington,krutishaaa,0,2,2020-08-04 22:22:15
35,"The first semester of nursing school is supposed to be fun and exciting but since none of y’all know how to wear a flipping mask and stay at home, classes are online and we lose out on such an important time to have hands on learning",,Maddie123newman,0,0,2020-08-04 22:20:20
36,im so bad at history so if anyone wants to take my online history course this upcoming semester lmk pls 😭,"Los Angeles, CA",zetino_14,0,1,2020-08-04 22:18:20
37,i know y’all b loving living at school but i’m telling ya the schools that are not online this upcoming semester are so stupid they’re rly gonna regret it 🤦🏻‍♀️🥴,,txylormxrtin,0,1,2020-08-04 22:15:33
38,I know its online and its gonna be rough with my class/work schedule but I'm still excited for the semester,"Soledad, CA",Jeeoge,0,1,2020-08-04 22:14:44
39,"more and more schools (HS and Middle Schools) are going hybrid or all online for the first semester. Even the ones pushing for in person, are back tracking a bit or saying a day on campus and a day off campus ... We need to live with studying online being a reality ... $OBLG",,theeconomicalm1,0,0,2020-08-04 22:14:05
40,"First, he is clearly a wannabe alpha and the worst part is you’re probably the first girl in history to fall for it. This is the type of nigga who would say all this shit online, then come up to me and ask me how my semester has been and it’s good to see me.",,jb247558548,0,0,2020-08-04 22:13:30
41,All my classes online this semester.. 2 things ik.. Ima finish with a 4.0 and my room fa sho gone be decked out 😂😂💯,Houston ,KloutBoyJay,0,1,2020-08-04 22:11:57
42,i miss school i really don’t want the whole semester to be online,she/her | 20,lackofhome,0,2,2020-08-04 22:11:09
43,Me finalizing my syllabus class calendar for the upcoming hybrid online/in-person semester: https://t.co/wgRbueegIF,,theghostcaptain,0,0,2020-08-04 22:09:08
44,My university is literally doing nothing to prepare for fall semester other than recommend everyone self quarantine’s 2 weeks before the semester starts. How does that help if none of the classes got moved online?🤦🏻‍♀️,Texas,0utranked,0,1,2020-08-04 22:07:38
45,Finished my online class for this summer. Now time to relax until fall semester starts.,"Plano, TX",Slyck_,0,0,2020-08-04 22:06:32
46,no fucking around in class the first semester😔 fuck online school.,DONT LEAVE ME TAKE ME WIT YOU,LankyLoby,0,0,2020-08-04 22:06:30
47,"In a letter, Illinois State University President Larry Dietz gave an update saying more fall courses are moving to online formats.

https://t.co/noHoDQdkYq","Peoria/Bloomington, IL",WMBDNews,0,2,2020-08-04 22:05:59
48,"@spacecowbot yes! we have to do them all online for the first semester then depending on how things go, we might be able to go back to public school but it's by choice of student",IN MY OWN HEAD,BREETHETRNDSTTR,0,0,2020-08-04 22:05:52
49,I have one hybrid class this semester and the rest are online and I just want to know if they genuinely expect to show up for the hybrid,"Minato-ku, Tokyo",jawwncena,0,0,2020-08-04 22:05:50
50,"I’m so grateful for Lyon because many colleges are raising their tuition while mines took 15% off, meal plan and room &amp; board due to switching the semester to online AND gave us a cares act and a grant.","Wahiawa, HI",MariahSpix,0,1,2020-08-04 22:05:03
51,if all my classes r online this semester i’m moving to live nxt to an ocean. see y’all later❤️,,jillfar56422837,0,0,2020-08-04 22:03:39
52,These online classes better be the fuck easier this semester 😒,Pittsburgh,princessmaiya_,1,1,2020-08-04 22:03:19
53,"So, I think our public school district (@a2schools) has made the right call to start fully online. And I understand the myriad of reasons why @UMich thinks it is best to start the semester with some classes (~30% of credit hours )meeting face-to-face.","Ann Arbor, MI",rkniemer,0,0,2020-08-04 22:02:43
54,"In-person classes? Online? Hybrid? No matter what your fall semester will look like, here are some tips on how to make it more affordable. https://t.co/p8BXFsCOpl","West Des Moines, IA",FrankeMillerGrp,0,0,2020-08-04 22:01:51
55,@lixiejae ty !! the online semester starts sept 8 whew i’m not ready  https://t.co/M5taF67MUP,superm ✈︎ nct127 + mx ,mrkwrld,0,1,2020-08-04 22:00:56
56,my only in person class is a pre req class that's 2 hours long on tuesdays and I don't know anyone else that's taking it this semester. I am angry bc it's literally the only class I thought should already be online 🤦‍♀️ i wanted my Beat Reporting class to be in-person 😭,dunkin donuts,abbyhanl0n,0,0,2020-08-04 21:57:45
57,"COVID has caused some classes to to be taught online only for the upcoming semester. I wish someone would remove class times, because it's no longer valid and it denies my enrollment.",,eswizzleart,0,0,2020-08-04 21:57:31
58,"hi pls tell me why i’m paying full tuition this semester for all online classes, one of which will be a self taught class. tell! me!! why!!!!!",nyc - read carrd byf (she/her),jeongsvng,0,2,2020-08-04 21:56:54
59,"@RITtigers 🐯|---Several Miles---|🐯
 
Everyone knows we’re going to be forced to switch to online at some point this semester. This time should be used to develop a solid online infrastructure, not to pretend everything is going to be ok.

Go online BEFORE a tragedy happens on campus.","New York, USA",doodle_damp,0,0,2020-08-04 21:56:47
60,@lixiejae uhhh not at all cuz our semester is online so maybe second semester  https://t.co/I6cQJrBSS6,superm ✈︎ nct127 + mx ,mrkwrld,0,1,2020-08-04 21:56:44
61,so i keep checking my schedule for next semester and seeing if my classes are moving online because i don’t want to go back on campus and it went from 5 classes on campus to only 1! i really want to do just all online and my prayers are getting answered! now i just have to wait,Chicago | BLM,Colleenshelbig,0,2,2020-08-04 21:56:40
