,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"GUYS MAU CERITA

Today is the first time in my life to become a speaker in online seminar. Eventho it only for faculty internal but still, i'm nervous as hell. Sampe tremor 😭 but hopefully it went very well.

I'm happy bcs I can share what I've learn during short semester",San Fransokyo,hanselgretel_,0,0,2020-08-14 05:04:07
1,Indeed Quality Education has continued @USIU_A @ExperienceUSIU via well crafted online learning platform. Integrity of exams ensured too. Admission to September 2020 semester ongoing. Join us to be equipped with education to take you places. https://t.co/lNduoVk59D,Nairobi,MartinCNjoroge,0,0,2020-08-14 05:00:47
2,"If online classes are going in such a manner, we dont need 3 years to comple 6 semester , just 1 year is enough
#educacionadistancia #currentsituation #autonomous #why #edutwitter",,naveenkumarj_72,0,0,2020-08-14 05:00:06
3,Realizing how hard next semester will be in terms of mental health and the online work load https://t.co/qCcwFzqdSq,"BAY AREA, CA",livdizzzle,0,5,2020-08-14 04:59:17
4,@lesxra All my clases are online this semester if you wanna start soon,Taking the A Train,scribbird,0,1,2020-08-14 04:58:42
5,"#StudentsInSCForJustice

Does every final year students are born with silver spoon to accept the conducting of final semester exams in online mode?",,Vinayak11149397,1,1,2020-08-14 04:55:34
6,"to all you doing school online next fall semester , make sure to check up on your friends, COVID-19 may have messed up a lot of things , but it ain't ruining these life long friendships 😤","Bakersfield, CA",josseriivera,1,0,2020-08-14 04:54:54
7,"Hey, check out this cool site I found: https://t.co/bd4RNOnEJI #Topic via@my_twitter_name https://t.co/zTPEW0YX52",,AppeHutauruk,0,1,2020-08-14 04:53:15
8,@NAMTHlCC college isn’t fun it’s ugh but each class had an online study group so we kinda became friends for the semester,19 ⊹ SHE!HER 더 같이 있자 아직 이르잖아 We're like 보라빛 밤 날 하늘 위로 터트려 볼래 이 밤 밤 밤 밤 밤 보라빛 밤,denimguk,0,1,2020-08-14 04:49:48
9,"@tonedTnT i’m pretty sure next week is 100% online but i didn’t see anything about the rest of semester, where was that am i blind",great pacific garbage patch,itslovina,0,0,2020-08-14 04:46:18
10,"Here is a list of tips to help you manage your time, focus, and stay organizaed to help you have a successful virtual semester. 
https://t.co/ck9wj57EG3
#dosomethingexceptional #tips #onlinelearning #virtual #virtuallearning #online #learningtips #organized","San Francisco, CA",ProFellow,0,0,2020-08-14 04:45:02
11,DISD Board of Trustees : DISD Schools should stay ONLINE and at home until spring semester!! - Sign the Petition! https://t.co/FHzThspTWo via @Change,,rosa_gaona2920,0,0,2020-08-14 04:42:58
12,"@OSPyoutube Ironically I've found that I could get through the amount of work I needed to do more easily online than I could in person. Though it might only have been the style of summer online courses. I'll probably be starting my next semester online as well, though, so we'll see","New York, USA",TMythologeek,0,0,2020-08-14 04:33:49
13,my last semester of college is going to be all online and it is not FAIR,ks,xxMadii,0,1,2020-08-14 04:31:37
14,"All my classes online, which means no time for procrastination this semester 🙏🏾😭",MD 📍,harimaaa__,1,7,2020-08-14 04:29:23
15,"@fcbkimbo19 I think it’s a good opportunity to do it this semester since it’s online, but I’m worried I might overload myself with taking 18 units",Fresno State 23’,Just_Eulyses,0,1,2020-08-14 04:28:51
16,"I've seen so many of these fat slobs waddling around my uni 

Glad I won't have to see them next semester since everything's online https://t.co/qccSwMhFNr", ¯\_( ͡° ͜ʖ ͡°)_/¯,ligma_hands,0,9,2020-08-14 04:27:06
17,@imanidhstwt I miss you too Keish! Miss a lot of conversations and things here too. I underestimate the workload I have this semester when everything is online 😭😭😭😭😭😭😭😭😭,🇲🇾 ,phixuscarus,0,0,2020-08-14 04:26:54
18,I’m gon need it they way all my classes are online this semester 🥴 https://t.co/NMAEyzhbBX,"Rome, GA",ovo_qveen,0,0,2020-08-14 04:23:01
19,@isashmisa bc fall semester online is gonna break my soul 😓💔,NERV,jun0starzy,0,0,2020-08-14 04:18:43
20,'To ensure as much safety as they can': Bibb County Schools announces online learning for fall semester https://t.co/7XWnr4VpVg,"Macon, GA",13wmaznews,0,0,2020-08-14 04:18:10
21,"i literally had to drop most of this semester bc i struggle so much with online work and have trouble focusing, the threads people make here so- i cant even put it into words but omygod they make me feel so shitty https://t.co/utYjQpKNdM",he/him | BLM | 21 🏳️‍🌈 ,mii2_bunny,0,0,2020-08-14 04:14:37
22,"@sumsumii I know how that feels. I'm going back in exactly 10 days, and I'm not comfy with taking online classes like this.
I can only hope this lasts for the first semester...",NE Ohio (weird weather world),FettermanVinny,0,0,2020-08-14 04:10:26
23,i dont think i can handle this semester thru online... my attention span and my will to do a thing is just... short like short short they dont even last for like an hour..,☤一 RN,disgashtingshit,0,2,2020-08-14 04:05:35
24,// im gonna cry im receiving emails from my professors for this semester regarding our course outline and stuff like that sjakskakdjs i still cant believe we're going to proceed w online school jsksjdjs im an art student idk how to make this work i have limited supplies 😭😭😭,im a minor bro ,ncitychaeyoung,0,0,2020-08-14 04:03:23
25,well two of my classes went online and while the reasoning is totally understandable I am nevertheless absolutely crushed and my mental state is trash and the semester hasn't even started :),the woods prolly,saturnsaturdays,0,0,2020-08-14 04:01:40
26,"Anatomy and physiology... online, this semester is gonna be roughhhhhhh",,alexisDecostaa,0,0,2020-08-14 03:59:42
27,DISD Board of Trustees : DISD Schools should stay ONLINE and at home until spring semester!! - Sign the Petition! https://t.co/dFu1tirMSU via @Change,@bcrtna,sarahicortinaa,0,0,2020-08-14 03:59:18
28,"losing my school year sucks, but i would rather lose a few memories than  possibly losing my fellow peers, cherished teachers, and staff.   https://t.co/YoeHglbF4Z via @Change",@bcrtna,sarahicortinaa,2,1,2020-08-14 03:58:55
29,"my classes start in 4 days wtf..... this is why all schools should’ve been online to begin with this semester. jesus christ. especially when at my campus we’re doing half in person and half online, so it’s like why not just do the whole thing online? i don’t get it https://t.co/DGZWNDCh9d",United States,kindadead18,0,1,2020-08-14 03:58:25
30,"@w_karve Well, they are not honest when it comes to online exams. Have seen it. Many results this semester were withheld because of this situation only.","Balrampur, India",cricketwoman,0,1,2020-08-14 03:57:13
31,"@leslie_bern The author would probably have a field day with my complete lack of professionalism during the Spring semester when we first moved online.
https://t.co/50jPyR1hlY",Grad Program in Acoustics PSU,drussellpsu,1,4,2020-08-14 03:50:35
32,"@padmessmile my whole semester is online, it started on tuesday",she/her • 16 • sw & atla | BLM,padmesanckin,0,1,2020-08-14 03:49:35
33,@_jeraldxne Honestly don’t think it’s good going into your first semester (I’m assuming it’s your first???) with online classes. It’s very hectic. Online classes are also really not for everyone.,USA,BerriStrawberry,0,0,2020-08-14 03:48:21
34,"I fully expect to be back online completely as soon as the university gets payments from students for this semester, and until then, it’s gonna be a huge disaster!!!",,CMU_Prodigy,0,23,2020-08-14 03:45:15
35,part of me wishes i did classes all online so i could just be OT the whole semester 😭,,SlickMoneyFrank,0,0,2020-08-14 03:45:13
36,"Crescent School of Architecture has kickstarted this semester of July-November 2020 with our Introductory Reviews

#architecture #architect #college #chennai #tamilnadu #2020Challenge #professional #course #admissions #student #education #Online #review https://t.co/mVcSz4i3Qz","CHENNAI , TAMILNADU , INDIA",CRESCENT_CSA,0,2,2020-08-14 03:38:13
37,I’m taking DIGITAL PHOTOGRAPHY this semester I’m VERY excited! But idk how this is gonna work online...when I don’t have a camera...,"Florida, USA",bl4ckgirlboss,0,0,2020-08-14 03:37:45
38,"Kinda excited for my classes this semester, but not ready for online classes😢","Texas, USA",smedina896,0,0,2020-08-14 03:36:43
39,"Schools across the country are going fully online this semester, but no, RIT, home of the first networked dorm, no RIT is opening in person.","San Francisco, CA",mgambogi,0,1,2020-08-14 03:36:17
40,"Taking pathophysiology online this semester, say a quick prayer for me 🙃🙃","Pittsburg, KS",yafavvliyah__,0,0,2020-08-14 03:34:41
41,"urtle Mountain Community College will begin the Fall 2020 semester entirely online, according to interim President Dr. Kellie Hall. https://t.co/4BpGemzGUT","Minot, ND",KMOT_TV,0,0,2020-08-14 03:33:00
42,shoutout to the lecturer whom we all ripped to shreds in our reviews last semester for his lazy and passive-aggressive handling of the transition to online but has obviously read them and is making a huge effort to do better for us this semester,remy   he/him   23  melbourne ,shattybuns,0,5,2020-08-14 03:32:27
43,college/university oomfs are u gonna be taking classes in person or online this upcoming fall semester ??,,ximcrossing,0,0,2020-08-14 03:31:54
44,college/university oomfs are u going to be taking classes in person or online this upcoming fall semester???,190213 ༊*·˚,ximzalabim,0,0,2020-08-14 03:30:58
45,i just realized im taking 19 hours this semester. all online.,read my listo byf 🗣,voboed,0,0,2020-08-14 03:30:04
46,I knowwwww that having all online classes this semester is going to mentally fuck me over and probably ruin my life but i feel like im in it too far to not try to make it through what do i do.,"《 20, She/He/They 》Minors DNI",ZeeIsGod,0,0,2020-08-14 03:29:31
47,"all of my classes are online in fall semester too, RIP my back.
think you America",Magic Shop 💜,kiwi_613,0,0,2020-08-14 03:26:40
48,they decreased one of my need based awards by over $20k bc the semester is online and i have no idea if i can even get a fed loan that big to cover the cost on my bill,she/her,melthehatgirl,0,0,2020-08-14 03:26:28
49,i’ve decided i wont be doing another online semester after this one. shit just aint it for me,minding my mf business,__jordyyyy,0,3,2020-08-14 03:20:11
50,"@Kiliana1123 Same! A bit nervous because I wasn’t too fond of online classes, but I’m in a clinic this semester so I’m looking forward to that",United States,ntlmorals,0,1,2020-08-14 03:16:28
51,@scottyorange There should be a betting pool on how far into the semester we get before it goes back to 100% online,,ChristianHitz1,0,0,2020-08-14 03:14:19
52,putting all my shit from last semester that i can’t return to the bookstore or sell online in the bag that my moe’s doordash came in bc i really hate getting rid of shit and there’s literally nowhere else i can put it,she/her • 18 ,bnehnw,0,0,2020-08-14 03:13:02
53,"Y’all, I’m kinda excited that mini me will be home this first semester, and doing online. With this opportunity I can bring out my U.S. Government books and U.S. History books from college I didn’t sell back and we’ll have a block in our day to learn about civics, and history. 🙌🏼",Colorado,JusticeBlaze,0,1,2020-08-14 03:12:09
54,"That I love teaching but am pissed our univ is forcing us into F2F. That a good ""remote"" class would be better and safer for all of us.
I wish they knew how sorry I am for the chaotic clusterf*** that will be fall semester, as we bop from F2F to emergency online. https://t.co/GoTvF0kx7N",,ZenPsychProf,0,1,2020-08-14 03:08:38
55,Both of my classes are online this semester and dang I’m a bit sad.,Aquinas '16 Le Moyne '20,milanne_wisch,1,0,2020-08-14 03:07:22
56,"Alhamdulillah, I am survived this semester eventhough it was online classes 😌",JOHO,jiehxaaa,0,0,2020-08-14 03:06:22
57,"Hey, Tigers! While we're all excited to be back on campus, we know there's still a lot of uncertainty about this semester. Feel free to reply to this with any questions you have about this semester and we'll answer them in an online article next week!","Arkadelphia, Arkansas",obusignal,0,0,2020-08-14 03:05:39
58,I got dean this semester 🤧 I thought my result would be down again as we’re having an online class plus the subjects were super tough,,ynjnskook,0,1,2020-08-14 02:54:02
