,Content,Location,Username,Retweet-Count,Favorites,Created at
0,I feel elated to share with you all the digital #EduTalk Magazine (July to Sep 2020) that covers my views on role of #ICTinEDUCATION during this tough time. You may also click on the link to have better reading experience. https://t.co/oqmg2wom8l #virtualschooling #onlineteaching https://t.co/BCP6vAt4AX,,vividh87,2,9,2020-08-02 03:18:16
1,@chadhflinn Agreed! If we centre everything around empathy this will naturally be part of our normal practice. Our main goal is setup our students for success. #teachingwithempathy #onlineteaching,"Whitby, Ontario",edloganplumber,0,1,2020-08-02 01:33:03
2,"🗣This advice goes to online presenters of any sorts. 
🔌 Hardwire Ethernet your signal if you can. Boost your signal if you can’t ethernet it. 

🎧 help reduce feedback on the listeners. 

#OnlineLearning #OnlineTeaching TY for the reminders @MissRBaller https://t.co/bXwpve7bTV",USA,Empoweringpts9,0,1,2020-08-02 00:23:46
3,"If your institution pays for a site license for ⁦@voicethread⁩, please share these free support workshops with faculty. #OnlineTeaching  https://t.co/Ct5saXjCYF",California,brocansky,1,4,2020-08-01 20:53:09
4,50 Back to School Activities for the Remote Learning Classroom: https://t.co/YqQjvMVDRW #tlap #onlineteaching  #distancelearning,,GregVeto92,0,0,2020-08-01 19:36:21
5,"How To Use Storytelling In Presentations and Virtual Classes - https://t.co/U6Nq6KB0Kp

#webinar #edtech #remotelearning #education #OnlineClasses #onlineteaching #elearning https://t.co/AkyE3Q49lq",,brunch_go,0,1,2020-08-01 19:29:19
6,"How do you teach writing online? With difficulty. Check out ""It’s Hard to Teach Writing Online,"" by Kristina Rizga #Education #Writing #OnlineTeaching #Pandemic https://t.co/Xe8VcMQxsx","Toronto, Ontario",LiteralChange,0,0,2020-08-01 19:05:15
7,Professor friends - we all know spring home setups were thrown together. You still have a few weeks to improve your work-from-home spaces. Here are some quick tips. Learn more from @eLearners https://t.co/LAvjpjljxI #onlineteaching #WorkFromHome #MurrowGoesVirtual https://t.co/Rj20hkbvmB,"Pullman, WA",RLCooney,3,9,2020-08-01 19:00:01
8,"Folks, please read this. It is written by a @CalCommColleges student. It provides a glimpse into the realities of our students, as well as student hopes for fall classes. #onlineteaching #empathy #humanizeol https://t.co/0Ay1xNSimD",California,brocansky,8,18,2020-08-01 18:50:48
9,"And, of course, since you cannot use a rubric for grading, you cannot output any statistics about student performance based on the rubric. The ease of administering an exam in Canvas is heavily offset by these downsides.

#onlineteaching #onlinecourses #WakeFromHome #SOC151","Winston-Salem, NC",davidyamane,0,1,2020-08-01 17:41:54
