,Content,Location,Username,Retweet-Count,Favorites,Created at
0,"Best budget #Writing #tablet for #onlineteaching | #XPPen Star G960 review &amp; tutorial | #WritingPad 
https://t.co/OlW10dLRTt",,The_Bioway,0,0,2020-08-13 18:22:42
1,"Really liked these examples of different ways to use active learning in an online course. #onlineteaching #STEMeducation 
https://t.co/m4jRAVBJ7r","Washington, DC",akallen10,0,0,2020-08-13 18:20:44
2,"#Teachers, if you missed this fantastic session on #onlineteaching practices by @mickpurcell view it here https://t.co/ruxUysHtSs @CENTA_Team @kchighchennai . Register on MyCENTA (https://t.co/DsaYH0n4Kf) for our #Thursday webinar series.",,Anjali_CENTA,0,0,2020-08-13 18:10:27
3,"You need to take advantage of this.

#OnlineLearning #onlineteaching #highered #k12 #virtualclassroom #RemoteTeaching #onlinecoursedesign #coursecreator #onlinecourses #edtech https://t.co/vwoNtMSKcI","South Carolina, USA",lvcoulter,0,1,2020-08-13 18:00:00
4,"""Space Dogs,"" ""Softie,"" ""Yiddish"" and more! / New slate of documentary films for online and IRL teaching - https://t.co/hepVb1hvaj 
#remotelearning #onlineteaching #teaching #learning #laika #docfilm #indie #documentary #film https://t.co/kvlQ9Dce6P",Brooklyn,IcarusFilms,0,0,2020-08-13 17:49:39
5,"#onlineteaching tip #5: Having a help sheet for your students is vital. You will want to include ""How To"" videos about key tech tools they will be using. #teachertwitter #T2Tchat #teachershelpingteachers https://t.co/BslzkHNnJj",,melshep34,1,1,2020-08-13 17:48:09
6,17 Fun Virtual Teacher Backgrounds for Online Teaching https://t.co/C40Um2Qvkp #onlineteaching,,twiggyboty,0,1,2020-08-13 17:48:00
7,"Thanks @MisbahGedal and @JBDbiz for a great session on collaboration feature #WakeletWave @wakelet #SEL #wakeletwave #Startsmallandhavefun 
#colloboratewithwakelet #onlineteaching #eslteacher https://t.co/p6u21knZzS",,Shalini040876,0,2,2020-08-13 17:15:54
8,Improve student writing with this frequently downloaded writing/essay handout: https://t.co/tzlJH2moor #writingtips #onlineteaching #AcademicChatter #AcademicTwitter https://t.co/6Ch3PCIAtZ,"Seattle, WA",lecturesource,0,0,2020-08-13 17:11:41
9,"On 8.19 at 11am EDT, we will be discussing: why K-12 use Chromebooks; cyber threat challenges users face including phishing, network and malware attacks; and
what can be done to protect users. https://t.co/ZmMH7kI8y3 #edutech #remotelearning #teachers #k12 #onlineteaching #edchat https://t.co/yhqFKiPoCX","Dallas, TX",ZIMPERIUM,0,1,2020-08-13 17:03:51
10,"3 Reasons I Chose Online Teaching
#teacherlife
#onlineteaching
#backtoschool https://t.co/2TVj1HZN4S","California, USA",runstrongrun,0,0,2020-08-13 17:00:09
11,"Check out these cool tools to enhance online education! Tips by #educators for educators

One example is the use of IPEVO document cameras and software! Thanks @fuglefun

https://t.co/QijqoOcWYx

#remotelearning #edtech #edutwitter #edchat #educhat #onlineteaching #it #art","Sunnyvale, CA",ipevo,1,3,2020-08-13 17:00:00
12,Re-share of a graphic I created for engaging students online. Thought this might be useful for #onlineteaching leaders as you prepare your faculty for fall teaching in the virtual space. Feel free to use &amp; share! Learn more @insidehighered https://t.co/I5flHn9bJ7 https://t.co/aGXP3eZcjp,"Pullman, WA",RLCooney,0,2,2020-08-13 17:00:00
13,"now amazing webinar from @wakelet 
""Collaborate on Wakelet""
 #wakeletwave 
#colloboratewithwakelet #onlineteaching #eslteacher https://t.co/JAi5w3tfCw",,Fourcats582Reem,0,1,2020-08-13 16:34:46
14,"My mind is blown away 🤯 with the new @wakelet collaboration feature. 👩‍💻🌊 #wakeletwave 
#colloboratewithwakelet #onlineteaching #eslteacher https://t.co/oGddlmSH1o","Juana Díaz, Puerto Rico",prof_ydiaz,2,8,2020-08-13 16:29:59
15,"It is so strange that teachers who dont want to be called after 5 for any official work continue to be active on Wapp group till midnight
#OnlineTeaching #RemoveSeniorOfficialsFromTheseGroups","Phagwara, India",DrTanimaDutta,0,1,2020-08-13 16:24:40
16,"How y'all feel about @Flipgrid? 
How have you used it in our courses, as a facilitator or instructor? 
#remoteteaching #onlineteaching","East Lansing, MI",_inherlane,0,1,2020-08-13 16:21:49
17,I'm actually excited for this webinar 🤓 #statistics #onlineteaching #statsmedic https://t.co/nghVe5ndWY,,MrsEasonLCB,0,0,2020-08-13 16:07:43
18,"VIPKID vs. Qkids vs. Spitball: Where to Teach Online and Work from Home
Do you want to teach online? Interested in adding an online teaching company? Thinking about becoming a freelance online teacher? 
#onlineteaching #workfromhome #teacherleah #onlinefreelanceteaching https://t.co/XCQs0xEGbE","Chapel Hill, NC",teacherleahs,0,0,2020-08-13 16:05:18
19,do you require camera on in your #onlineclasses? edtech #onlineteaching https://t.co/3Po3mUiAR4,St. Cloud State University,SCSUtechinstruc,1,1,2020-08-13 15:55:44
20,"If you need me today or tomorrow, I'll be in @Blackboard. Find me in the learning modules section. If I'm not there, check the syllabus section. As a last resort, look for me in the fetal position under my desk. #NewSemester #COVID19 #OnlineTeaching","Hays, Kansas",allredjohnny,0,9,2020-08-13 15:23:51
21,That's just not how it works! #onlineteaching #onlinelearning #blankslateedu https://t.co/dT1VAiQis1,,BlankSlateEDU,1,0,2020-08-13 14:36:19
22,"Starting soon!

#AcademicTwitter #OnlineTeaching #OnlineLearning https://t.co/4TLzEDiRk1","Baltimore, Maryland (USA)",SuenJonathan,0,1,2020-08-13 14:23:31
23,This group in the #instructionaldesign workshop is fab.  It's a mix of #faculty #instructionaldesigners and #technologists  so we're definitely having some wonderful conversations about #onlineteaching #onlinelearning  ID and LxD.   I love my job.,"Longmont, Colorado",bethanybovard,0,4,2020-08-13 14:20:28
24,"The best time. ✂️
#createmoreconsumeless #onlinelearning #onlineteaching #infodepot https://t.co/QrB1fW3V5Q",,InfoDepotLLC,0,0,2020-08-13 14:15:25
25,"@AcademicChatter to my fellow fall semester college biology lab instructors, what are some things that you plan to incorporate in your virtual lab sections to make them more interactive? #HigherEducation #STEM #onlinelearning #onlineteaching #STEMeducation","New York, USA",smokinscientist,0,1,2020-08-13 14:09:59
