,Content,Location,Username,Retweet-Count,Favorites,Created at
0,My digital planner is done. #schoolsreopening #virtuallearning #COVID19 #math #mathisfun #onestopshop https://t.co/aLeOdmyIgy,"Round Rock, TX",cre2908,0,0,2020-08-02 04:09:58
1,"My “Wild About Animals” @outschool class is RE-LISTED 🥳🥳🥳
(I accidentally removed it last week🤦‍♀️)
 
https://t.co/kvMbQmTFLb 

•

•

•
#animals #Onlineclass #funforkids #animallovers #DistanceLearning #outschool #virtuallearning #scicomm #learningfromhome #learningmadefun","Orange, CA",Doodlebugs_Adv,2,3,2020-08-02 03:49:01
2,"So, I received an email yesterday from my district...we will be #virtuallearning for the first part of the school year. I would like to do digital #INB.  Can someone help me where to start?!? #teachertwitter #clearthelist 🍎https://t.co/gXLNj5KsXa #bittersweet","Michigan, USA",spedteacher_4,0,0,2020-08-02 03:31:41
3,"L&amp;D's Challenge: Building Change Capabilities in the Wake of COVID-19 @CornerstoneInc @mderven, https://t.co/lSZ0VenHXM #training #learning #elearning #TrainingAndDevelopment #virtuallearning",,trainmagnetwork,0,1,2020-08-02 03:15:03
4,"#virtualclassroom are awesome, but what about resource rooms?! Check out why I love to use them. https://t.co/OGbteWrRS3
#teachertwitter #virtuallearning #onlinelearning #teachertip #techtips #techtip","Nevada, IA",BortonScience,0,0,2020-08-02 03:13:22
5,"Please go check out my husband’s #gofundme campaign. Donate if you can and also share! #virtuallearning 

https://t.co/AMcJDZdGqQ",,timjlandry,0,0,2020-08-02 03:04:03
6,My child’s first day is Tuesday and still haven’t heard from teacher #virtuallearning,,melankolyme,0,1,2020-08-02 02:46:56
7,“You tricked us!” Huh? “You made us think of everything that made us upset then helped us fix it so we feel better now. Unfair” Haha! Thank you @MsMagiera for sharing the Gripe Jam! Best way to shape a #PD #dlpcoach #GoogleET #GoogleEDU #GoogleEC #virtuallearning,"Milwaukee, WI",KaitlynAWright,0,2,2020-08-02 02:31:28
8,Getting Virtual Room 6 ready for August 24th!! I am hoping this will make virtually learning a little easier and a little more engaging! 💚💙🦁@ErvinHMC1 @HMC1Proud #FirstGrade #VirtualLearning #BitmojiClassroom https://t.co/fJYugH08zv,,MsOlsonRoom6,0,0,2020-08-02 02:18:10
9,COVID silver lining. I usually plan my lessons one week in advance because I’m lazy. In the last week I’ve planned 11 weeks of total instruction because I want to get it right this time. At least closer to right. #virtuallearning,,minisatirehat,0,1,2020-08-02 02:06:50
10,"It’s official. My school district is going 100% virtual for the school year. 

If anyone has any suggestions on places to look for desks or anything that will help my Kindergartener stayed engaged with virtual learning, please share! #virtuallearning #Kindergarten","Boston, MA",Matt_DiV,0,0,2020-08-02 01:25:54
11,Awesome new #MicrosoftTeams updates for the new school year! Making strides for better #virtuallearning https://t.co/CeD6S5sB2A,Maryland,LMurphyMathTech,0,1,2020-08-02 01:14:20
12,Played around a little bit and figured it's important that my students actually see me since I'll be in a mask and objects outlined in blue are linked to sites we'll use in class #BitmojiClassroom #virtuallearning https://t.co/IB4dVTMxWD,"Miami, FL",HayLSci,1,7,2020-08-02 01:01:33
13,"Boston STEM Lab is a hands-on virtual program for ages 3-8. Through play, experimentation and model making kids learn about science, technology, math and engineering in a fun and intuitive way. #BostonSTEMLab #Boston #STEM #STEMForKids #VirtualLearning",,BostonSTEMLab,0,0,2020-08-02 00:56:40
14,And here we are with the obvious. #supportteachers #TeachersLivesMatter #virtuallearning https://t.co/L61dF53vlh,,Julie71446114,0,0,2020-08-02 00:48:26
15,"And @EVSC @EVSCSuper are ok with students taking off their masks in classrooms bc the kids are 6’ away from each other?! Virus doesn’t CARE about 6’ if it’s AIRBORNE. #virtuallearning until it’s safe and CONTAINED, PLEASE!!! https://t.co/u0mhHAASr1",,slmloves31,0,0,2020-08-01 23:49:58
16,"Maria, Marissa, &amp; Jennifer!! This trio insured that the children of our community are well equipped for #VirtualLearning #Samsung @TMobile @MikeSievert @NathalineP @StephenJamesA @ARod_013 #Summer #Love #Repost https://t.co/VCH3QZ8Gll","Orlando, FL",mrrains451,2,20,2020-08-01 23:42:05
17,Are you struggling to decide Virtual vs. In-person Learning for your child In the Fall?  Check out our recent Blog post! #pickupthepiecestn #virtuallearning #inpersonlearning                                https://t.co/CaJT3kO5KE https://t.co/FyL0o5GEdp,"Murfreesboro, TN",pickuppiecestn,1,1,2020-08-01 23:26:26
18,"Join your peers and earn up to 4.8 #CPE credits while discovering how to enhance your virtual conferencing experiences during the Adobe Connect Webinar Series: Go Virtual. Monday, Aug. 31 – Thursday, Sept. 3. https://t.co/5MYA9fec1D #AdobeVirtualSeminar #VirtualLearning https://t.co/uPLjXcbmtM","Washington, DC",GovEventsGroup,0,0,2020-08-01 23:22:01
19,So amazing ideas 😍 #VirtualLearning enviornment #BunceeLive @Buncee https://t.co/A6cbcNfHKo,"Capitán Bermudez, Argentina",mariajosegiaved,0,2,2020-08-01 23:13:03
20,Terribly unfortunate for the students and their families. This will only continue if we resume behaviors too soon. @SLCSD @GovWhitmer #COVID19 #virtuallearning https://t.co/aV2izwk1ry,"Michigan, USA",couchfisher,0,0,2020-08-01 23:08:05
